Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,ANTH,100, ,001,"INTRO CULT ANTH","De Burgos, Hugo",190,72.19,11.58,90,0,183,3,4,0,0,2,0,0,0,1,3,4,9,11,20,30,32,24,37,12,4
UBCO,2016,W,ANTH,100, ,002,"INTRO CULT ANTH","Dods, R Robin",78,72,14.14,91,13,68,5,4,1,0,0,2,1,1,1,5,0,1,1,6,7,19,18,11,4,1
UBCO,2016,W,ANTH,100, ,101,"INTRO CULT ANTH","French, Diana",109,69.97,12.87,92,0,101,5,2,1,0,1,0,1,1,2,5,0,7,11,14,18,18,16,4,8,5
UBCO,2016,W,ANTH,100, ,102,"INTRO CULT ANTH","Geary, David",200,70.62,15.62,97,0,186,10,4,0,0,3,1,1,4,1,10,8,7,14,26,21,24,22,36,16,12
UBCO,2016,W,ANTH,100, ,OVERALL,"INTRO CULT ANTH"," ",577,71.2,13.67,97,0,538,23,14,2,0,6,3,3,6,5,23,12,24,37,66,76,93,80,88,40,22
UBCO,2016,W,ANTH,103, ,001,"INTR WRLD ARCHLG","Dods, R Robin",59,68.64,11.64,83,14,55,3,1,0,0,0,1,0,1,1,3,3,0,5,8,14,10,10,5,0,0
UBCO,2016,W,ANTH,103, ,002,"INTR WRLD ARCHLG","Beardsell, Robert",79,70.86,7.44,87,47,76,1,2,0,0,0,0,0,0,1,1,2,5,4,10,15,21,11,7,1,0
UBCO,2016,W,ANTH,103, ,OVERALL,"INTR WRLD ARCHLG"," ",138,69.9,9.5,87,14,131,4,3,0,0,0,1,0,1,2,4,5,5,9,18,29,31,21,12,1,0
UBCO,2016,W,ANTH,111, ,001,"INTRO BIOL ANTH","Nomokonova, Tatiana",80,71,16.34,95,8,76,4,0,0,0,1,3,0,0,0,4,1,3,6,10,11,10,15,6,8,6
UBCO,2016,W,ANTH,111, ,101,"INTRO BIOL ANTH","Peacock, Sandra",173,70.84,12.13,98,34,162,9,1,1,0,0,0,0,2,7,9,6,11,18,19,21,25,20,19,14,9
UBCO,2016,W,ANTH,111, ,OVERALL,"INTRO BIOL ANTH"," ",253,70.89,13.58,98,8,238,13,1,1,0,1,3,0,2,7,13,7,14,24,29,32,35,35,25,22,15
UBCO,2016,W,ANTH,170, ,001,"INTRO LING ANTH","Giffen, Robyn",98,71.67,14.03,99,42,90,6,0,0,2,0,0,0,0,6,6,7,4,13,10,12,7,4,11,12,10
UBCO,2016,W,ANTH,170, ,OVERALL,"INTRO LING ANTH"," ",98,71.67,14.03,99,42,90,6,0,0,2,0,0,0,0,6,6,7,4,13,10,12,7,4,11,12,10
UBCO,2016,W,ANTH,205, ,001,"WOMEN CROSSCULT","Walks, Michelle",35,75.89,14.48,94,30,33,2,0,0,0,0,0,0,1,1,2,2,0,2,0,3,2,7,5,10,2
UBCO,2016,W,ANTH,205, ,OVERALL,"WOMEN CROSSCULT"," ",35,75.89,14.48,94,30,33,2,0,0,0,0,0,0,1,1,2,2,0,2,0,3,2,7,5,10,2
UBCO,2016,W,ANTH,206, ,001,"FAMILY CROSSCULT","Dods, R Robin",10,71,8.89,87,57,10,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,4,1,0,1,0
UBCO,2016,W,ANTH,206, ,OVERALL,"FAMILY CROSSCULT"," ",10,71,8.89,87,57,10,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,4,1,0,1,0
UBCO,2016,W,ANTH,227, ,001,"CULT HEALTH ILL","De Burgos, Hugo",109,77.25,8.29,96,54,108,0,1,0,0,0,0,0,0,0,0,1,3,2,3,16,18,17,25,14,9
UBCO,2016,W,ANTH,227, ,OVERALL,"CULT HEALTH ILL"," ",109,77.25,8.29,96,54,108,0,1,0,0,0,0,0,0,0,0,1,3,2,3,16,18,17,25,14,9
UBCO,2016,W,ANTH,245, ,001,"CULTUR & ENVIRON","Kovacs-Kowalke, Eva Marie",31,86.27,8.46,96,64,30,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,11,13
UBCO,2016,W,ANTH,245, ,OVERALL,"CULTUR & ENVIRON"," ",31,86.27,8.46,96,64,30,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2,11,13
UBCO,2016,W,ANTH,260, ,001,"ETHNOBOTANY","Peacock, Sandra",47,75.33,8.08,88,50,45,0,1,1,0,0,0,0,0,0,0,1,1,1,1,10,10,6,9,6,0
UBCO,2016,W,ANTH,260, ,OVERALL,"ETHNOBOTANY"," ",47,75.33,8.08,88,50,45,0,1,1,0,0,0,0,0,0,0,1,1,1,1,10,10,6,9,6,0
UBCO,2016,W,ANTH,270, ,001,"PHONOLOGY","Schreyer, Christine",26,79.12,19.45,97,0,24,1,1,0,0,1,0,0,0,0,1,0,0,2,1,3,0,3,2,5,8
UBCO,2016,W,ANTH,270, ,OVERALL,"PHONOLOGY"," ",26,79.12,19.45,97,0,24,1,1,0,0,1,0,0,0,0,1,0,0,2,1,3,0,3,2,5,8
UBCO,2016,W,ANTH,295,M,001,"TOPICS ANTHROPOL","French, Diana",27,73.69,9.57,88,55,26,0,0,1,0,0,0,0,0,0,0,0,1,5,0,3,5,3,3,6,0
UBCO,2016,W,ANTH,295, ,OVERALL,"TOPICS ANTHROPOL"," ",27,73.69,9.57,88,55,26,0,0,1,0,0,0,0,0,0,0,0,1,5,0,3,5,3,3,6,0
UBCO,2016,W,ANTH,300, ,001,"CONTMP THRY ANTH","Frohlick, Susan",32,71.41,17.22,92,0,31,1,0,0,0,1,0,0,0,0,1,1,3,4,1,3,5,1,6,5,2
UBCO,2016,W,ANTH,300, ,OVERALL,"CONTMP THRY ANTH"," ",32,71.41,17.22,92,0,31,1,0,0,0,1,0,0,0,0,1,1,3,4,1,3,5,1,6,5,2
UBCO,2016,W,ANTH,313, ,001,"ANTH GENDER","Hobbis, Stephanie",73,82.74,11.2,100,25,72,1,0,0,0,0,0,1,0,0,1,0,1,2,2,3,5,7,16,21,15
UBCO,2016,W,ANTH,313, ,OVERALL,"ANTH GENDER"," ",73,82.74,11.2,100,25,72,1,0,0,0,0,0,1,0,0,1,0,1,2,2,3,5,7,16,21,15
UBCO,2016,W,ANTH,318, ,001,"PALEOLITH ARCHGY","Beardsell, Robert",41,82.3,5.65,93,68,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,8,16,8,5
UBCO,2016,W,ANTH,318, ,OVERALL,"PALEOLITH ARCHGY"," ",41,82.3,5.65,93,68,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,8,16,8,5
UBCO,2016,W,ANTH,330, ,001,"PERSP MENTAL HLT","De Burgos, Hugo",63,78.44,9.93,95,44,61,1,0,1,0,0,0,0,0,1,1,1,0,4,3,3,5,11,18,11,5
UBCO,2016,W,ANTH,330, ,OVERALL,"PERSP MENTAL HLT"," ",63,78.44,9.93,95,44,61,1,0,1,0,0,0,0,0,1,1,1,0,4,3,3,5,11,18,11,5
UBCO,2016,W,ANTH,342, ,001,"HUMAN OSTEOLOGY","Peacock, Sandra",24,91.54,6.61,99,74,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,15
UBCO,2016,W,ANTH,342, ,OVERALL,"HUMAN OSTEOLOGY"," ",24,91.54,6.61,99,74,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,15
UBCO,2016,W,ANTH,355, ,001,"ETHN DEVELOPMENT","Husain, Matt",46,82.15,5.96,94,65,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,19,13,3
UBCO,2016,W,ANTH,355, ,OVERALL,"ETHN DEVELOPMENT"," ",46,82.15,5.96,94,65,46,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,19,13,3
UBCO,2016,W,ANTH,377, ,001,"SOCIOLINGUISTICS","Schreyer, Christine",37,76.83,18.25,99,27,32,3,1,1,0,0,0,1,2,0,3,1,1,2,1,3,4,1,5,3,11
UBCO,2016,W,ANTH,377, ,OVERALL,"SOCIOLINGUISTICS"," ",37,76.83,18.25,99,27,32,3,1,1,0,0,0,1,2,0,3,1,1,2,1,3,4,1,5,3,11
UBCO,2016,W,ANTH,400, ,001,"HISTORY OF ANTH","De Burgos, Hugo",30,78.79,10.75,95,38,28,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,5,5,6,5,4
UBCO,2016,W,ANTH,400, ,OVERALL,"HISTORY OF ANTH"," ",30,78.79,10.75,95,38,28,1,1,0,0,0,0,0,1,0,1,0,0,0,1,2,5,5,6,5,4
UBCO,2016,W,ANTH,403,M,001,"ETHNO SPEC AREAS","Nomokonova, Tatiana",18,80.72,16.39,94,34,17,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,0,2,3,8
UBCO,2016,W,ANTH,403, ,OVERALL,"ETHNO SPEC AREAS"," ",18,80.72,16.39,94,34,17,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,2,0,2,3,8
UBCO,2016,W,ANTH,407, ,001,"PRNCPLS FLD WORK","Geary, David",27,79.22,11.92,95,33,26,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,2,5,6,7,3
UBCO,2016,W,ANTH,407, ,OVERALL,"PRNCPLS FLD WORK"," ",27,79.22,11.92,95,33,26,1,0,0,0,0,0,0,1,0,1,0,0,0,2,1,2,5,6,7,3
UBCO,2016,W,ANTH,411, ,001,"PRECONT AMERICAS","Dods, R Robin",6,68.67,34.56,90,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,1
UBCO,2016,W,ANTH,411, ,OVERALL,"PRECONT AMERICAS"," ",6,68.67,34.56,90,0,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,1
UBCO,2016,W,ANTH,419, ,001,"ANTH RELIGION","Geary, David",72,78.21,8.23,96,56,71,0,0,1,0,0,0,0,0,0,0,0,2,1,3,7,9,12,23,8,6
UBCO,2016,W,ANTH,419, ,OVERALL,"ANTH RELIGION"," ",72,78.21,8.23,96,56,71,0,0,1,0,0,0,0,0,0,0,0,2,1,3,7,9,12,23,8,6
UBCO,2016,W,ANTH,422, ,001,"MODES OF SUBSIST","Dods, R Robin",16,70.75,24.24,87,0,14,2,0,0,0,1,0,1,0,0,2,0,0,1,0,2,0,1,7,3,0
UBCO,2016,W,ANTH,422, ,OVERALL,"MODES OF SUBSIST"," ",16,70.75,24.24,87,0,14,2,0,0,0,1,0,1,0,0,2,0,0,1,0,2,0,1,7,3,0
