Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,APSC,110, ,71M,"CO-OP I","",8,,,,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBCO,2016,W,APSC,110, ,OVERALL,"CO-OP I"," ",13,,,,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBCO,2016,W,APSC,169, ,201,"SUST ENGR DESIGN","Sediako, Dimitry",161,78.72,18.27,99,3,143,18,0,0,0,1,3,2,1,11,18,1,4,4,0,4,2,12,31,50,35
UBCO,2016,W,APSC,169, ,202,"SUST ENGR DESIGN","Sediako, Dimitry",200,87.65,10.77,99,22,193,6,1,0,0,0,0,1,0,5,6,1,1,0,1,2,2,8,29,49,100
UBCO,2016,W,APSC,169, ,OVERALL,"SUST ENGR DESIGN"," ",363,83.66,15.25,99,3,336,24,3,0,0,1,3,3,1,16,24,2,5,4,1,6,4,20,60,99,135
UBCO,2016,W,APSC,171, ,101,"ENGR DRAWING","Taheri-Ardebili, Ray",175,81.39,8.79,96,35,173,1,1,0,0,0,0,0,1,0,1,1,4,2,1,11,9,32,43,41,29
UBCO,2016,W,APSC,171, ,102,"ENGR DRAWING","Taheri-Ardebili, Ray",160,74.84,15.89,100,0,150,9,1,0,0,3,0,1,1,4,9,2,2,4,13,24,16,21,23,31,14
UBCO,2016,W,APSC,171, ,OVERALL,"ENGR DRAWING"," ",337,78.26,13.09,100,0,323,10,4,0,0,3,0,1,2,4,10,3,6,6,14,35,25,53,66,72,43
UBCO,2016,W,APSC,172, ,101,"ENGR ANALYSIS I","O'Leary, Stephen",253,75.27,15.53,97,0,234,16,3,0,0,2,0,3,3,8,16,5,11,8,17,18,31,26,47,31,40
UBCO,2016,W,APSC,172, ,OVERALL,"ENGR ANALYSIS I"," ",256,75.27,15.53,97,0,234,16,6,0,0,2,0,3,3,8,16,5,11,8,17,18,31,26,47,31,40
UBCO,2016,W,APSC,173, ,201,"ENGR ANALYSIS II","Hossain, Md",111,59.44,20.19,93,0,80,28,0,0,3,3,2,1,8,14,28,14,8,10,9,5,7,8,8,2,9
UBCO,2016,W,APSC,173, ,202,"ENGR ANALYSIS II","Goh, Seach Chyr",144,70.22,14.3,95,25,130,9,1,0,4,0,0,1,4,4,9,10,10,10,15,12,13,17,21,16,6
UBCO,2016,W,APSC,173, ,OVERALL,"ENGR ANALYSIS II"," ",256,65.51,17.91,95,0,210,37,2,0,7,3,2,2,12,18,37,24,18,20,24,17,20,25,29,18,15
UBCO,2016,W,APSC,176, ,101,"ENG COMMUNICATN","Eikenaar, Jannik",32,74.68,7.74,91,60,31,0,1,0,0,0,0,0,0,0,0,0,0,1,5,8,3,4,6,2,2
UBCO,2016,W,APSC,176, ,102,"ENG COMMUNICATN","Labun, Carolyn",24,59.5,21.64,86,0,19,5,0,0,0,2,0,0,1,2,5,2,2,3,2,1,4,2,2,1,0
UBCO,2016,W,APSC,176, ,103,"ENG COMMUNICATN","Patterson, Laura",32,70.41,6.78,83,60,32,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,3,4,5,0,0
UBCO,2016,W,APSC,176, ,104,"ENG COMMUNICATN","Patterson, Laura",32,69.23,6.89,80,52,31,0,1,0,0,0,0,0,0,0,0,1,1,4,7,6,4,6,2,0,0
UBCO,2016,W,APSC,176, ,105,"ENG COMMUNICATN","Eikenaar, Jannik",28,70.61,11.21,91,44,26,2,0,0,0,0,0,0,0,2,2,0,1,4,3,2,6,4,4,1,1
UBCO,2016,W,APSC,176, ,106,"ENG COMMUNICATN","Eikenaar, Jannik",25,65.76,14.71,85,23,21,4,0,0,0,0,0,1,1,2,4,0,1,1,4,5,4,4,1,1,0
UBCO,2016,W,APSC,176, ,107,"ENG COMMUNICATN","Labun, Carolyn",32,73.26,8.47,87,47,30,1,1,0,0,0,0,0,0,1,1,0,0,1,6,4,2,9,7,1,0
UBCO,2016,W,APSC,176, ,108,"ENG COMMUNICATN","Patterson, Laura",28,72.57,9.82,92,46,27,1,0,0,0,0,0,0,0,1,1,1,0,1,4,5,4,6,4,1,1
UBCO,2016,W,APSC,176, ,109,"ENG COMMUNICATN","Shaw, Catherine",28,75.39,11.05,88,42,27,1,0,0,0,0,0,0,0,1,1,1,1,0,2,1,5,6,6,5,0
UBCO,2016,W,APSC,176, ,110,"ENG COMMUNICATN","Shaw, Catherine",19,70.26,25.06,89,0,17,2,0,0,0,2,0,0,0,0,2,0,0,0,2,1,3,3,3,5,0
UBCO,2016,W,APSC,176, ,OVERALL,"ENG COMMUNICATN"," ",280,70.44,13.25,92,0,261,16,3,0,0,4,0,1,2,9,16,5,6,19,43,41,38,48,40,17,4
UBCO,2016,W,APSC,177, ,201,"ENGR COMP & INST","Klukas, Richard",269,68.97,19.58,100,0,228,39,2,0,0,3,3,4,10,19,39,18,16,21,20,19,21,25,27,27,34
UBCO,2016,W,APSC,177, ,OVERALL,"ENGR COMP & INST"," ",271,68.97,19.58,100,0,228,39,4,0,0,3,3,4,10,19,39,18,16,21,20,19,21,25,27,27,34
UBCO,2016,W,APSC,178, ,201,"ELEC, MAGN, WAVE","Markley, Loic",138,53.98,18.51,93,0,85,48,1,0,4,3,2,10,10,23,48,19,9,13,9,11,6,9,6,2,1
UBCO,2016,W,APSC,178, ,202,"ELEC, MAGN, WAVE","Holzman, Jonathan",164,64.89,18.03,96,6,129,33,1,0,1,1,0,7,6,19,33,13,12,9,12,10,19,12,17,14,11
UBCO,2016,W,APSC,178, ,OVERALL,"ELEC, MAGN, WAVE"," ",304,59.97,19.01,96,0,214,81,4,0,5,4,2,17,16,42,81,32,21,22,21,21,25,21,23,16,12
UBCO,2016,W,APSC,179, ,101,"LINEAR ALGEBRA","Foulds, Ian",290,74.69,20.75,100,0,258,31,1,0,0,9,2,2,5,13,31,6,8,10,16,16,24,25,48,44,61
UBCO,2016,W,APSC,179, ,OVERALL,"LINEAR ALGEBRA"," ",291,74.69,20.75,100,0,258,31,2,0,0,9,2,2,5,13,31,6,8,10,16,16,24,25,48,44,61
UBCO,2016,W,APSC,180, ,101,"STATICS","Goh, Seach Chyr",161,69.69,14.99,95,22,138,20,3,0,0,0,0,3,2,15,20,3,13,11,16,8,15,25,28,15,4
UBCO,2016,W,APSC,180, ,102,"STATICS","Goh, Seach Chyr",129,59.33,15.41,91,21,95,30,1,0,3,0,0,3,12,15,30,19,13,11,7,18,7,8,6,5,1
UBCO,2016,W,APSC,180, ,OVERALL,"STATICS"," ",294,65.11,16,95,21,233,50,8,0,3,0,0,6,14,30,50,22,26,22,23,26,22,33,34,20,5
UBCO,2016,W,APSC,181, ,201,"DYNAMICS","Mohammadi, Hadi",111,63.88,13.51,90,0,101,8,0,0,2,2,0,0,0,6,8,15,14,10,15,16,12,10,6,2,1
UBCO,2016,W,APSC,181, ,202,"DYNAMICS","Goh, Seach Chyr",138,74.44,12.9,98,30,132,4,0,0,2,0,0,0,3,1,4,2,8,12,14,10,17,12,27,14,16
UBCO,2016,W,APSC,181, ,OVERALL,"DYNAMICS"," ",249,69.74,14.16,98,0,233,12,0,0,4,2,0,0,3,7,12,17,22,22,29,26,29,22,33,16,17
