Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,ARTH,101, ,001,"ART VIS CLTURS I","Gott, Suzanne",65,65.26,25.69,97,4,47,15,3,0,0,2,3,3,5,2,15,1,3,2,4,6,7,3,4,5,12
UBCO,2016,W,ARTH,101, ,OVERALL,"ART VIS CLTURS I"," ",65,65.26,25.69,97,4,47,15,3,0,0,2,3,3,5,2,15,1,3,2,4,6,7,3,4,5,12
UBCO,2016,W,ARTH,102, ,001,"ART VS CLTURS II","Belton, Robert",73,68.77,22.16,95,0,63,8,1,1,0,4,1,1,0,2,8,0,7,5,6,4,10,6,7,10,8
UBCO,2016,W,ARTH,102, ,OVERALL,"ART VS CLTURS II"," ",73,68.77,22.16,95,0,63,8,1,1,0,4,1,1,0,2,8,0,7,5,6,4,10,6,7,10,8
UBCO,2016,W,ARTH,115, ,001,"POP MUSC VIS CUL","Belton, Robert",41,71.77,17.62,93,0,37,2,2,0,0,1,0,1,0,0,2,1,3,1,3,5,8,3,5,4,4
UBCO,2016,W,ARTH,115, ,OVERALL,"POP MUSC VIS CUL"," ",41,71.77,17.62,93,0,37,2,2,0,0,1,0,1,0,0,2,1,3,1,3,5,8,3,5,4,4
UBCO,2016,W,ARTH,202, ,001,"CRITICAL VIEWER","Belton, Robert",27,71.37,26.43,95,0,23,4,0,0,0,2,1,0,0,1,4,1,0,0,0,1,3,5,3,5,5
UBCO,2016,W,ARTH,202, ,OVERALL,"CRITICAL VIEWER"," ",27,71.37,26.43,95,0,23,4,0,0,0,2,1,0,0,1,4,1,0,0,0,1,3,5,3,5,5
UBCO,2016,W,ARTH,203, ,001,"GLOBAL CONTEMP","MacHardy, Carolyn",26,74.28,8.24,89,55,25,0,0,1,0,0,0,0,0,0,0,0,1,1,2,6,3,5,4,3,0
UBCO,2016,W,ARTH,203, ,OVERALL,"GLOBAL CONTEMP"," ",26,74.28,8.24,89,55,25,0,0,1,0,0,0,0,0,0,0,0,1,1,2,6,3,5,4,3,0
UBCO,2016,W,ARTH,301, ,001,"CRTL VWNG ADV ST","Keshani, Hussein",33,80.29,10.03,96,45,30,1,1,0,1,0,0,0,0,1,1,0,0,1,0,2,2,7,6,8,4
UBCO,2016,W,ARTH,301, ,OVERALL,"CRTL VWNG ADV ST"," ",33,80.29,10.03,96,45,30,1,1,0,1,0,0,0,0,1,1,0,0,1,0,2,2,7,6,8,4
UBCO,2016,W,ARTH,315, ,001,"20 CEN ARTHIST I","MacHardy, Carolyn",40,73.13,11.41,91,35,37,2,1,0,0,0,0,0,1,1,2,1,1,1,1,8,6,7,7,4,1
UBCO,2016,W,ARTH,315, ,OVERALL,"20 CEN ARTHIST I"," ",40,73.13,11.41,91,35,37,2,1,0,0,0,0,0,1,1,2,1,1,1,1,8,6,7,7,4,1
UBCO,2016,W,ARTH,323, ,001,"CREATVE ACTIVISM","Lee, Ruthann",20,80.65,7.1,93,67,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,6,2,3
UBCO,2016,W,ARTH,323, ,OVERALL,"CREATVE ACTIVISM"," ",20,80.65,7.1,93,67,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,6,2,3
UBCO,2016,W,ARTH,370, ,001,"A&L ISL WRLD","Keshani, Hussein",29,75.45,14.12,91,43,27,2,0,0,0,0,0,0,0,2,2,2,1,0,1,3,1,2,8,7,2
