Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,BIOC,304, ,001,"MOLECULAR BIOC I","Vaisius, Allan",79,67.05,17.89,99,35,67,10,2,0,0,0,0,0,4,6,10,10,12,6,3,3,8,3,6,5,11
UBCO,2016,W,BIOC,304, ,OVERALL,"MOLECULAR BIOC I"," ",79,67.05,17.89,99,35,67,10,2,0,0,0,0,0,4,6,10,10,12,6,3,3,8,3,6,5,11
UBCO,2016,W,BIOC,305, ,001,"MOLECULR BIOC II","Plunkett, Richard",58,72.71,14.84,97,30,54,4,0,0,0,0,0,0,1,3,4,4,2,5,6,5,4,5,10,5,8
UBCO,2016,W,BIOC,305, ,OVERALL,"MOLECULR BIOC II"," ",58,72.71,14.84,97,30,54,4,0,0,0,0,0,0,1,3,4,4,2,5,6,5,4,5,10,5,8
UBCO,2016,W,BIOC,308, ,001,"PHARMACOLOGY I","Martin, Morgan",76,73.14,12.08,94,43,73,3,0,0,0,0,0,0,0,3,3,4,5,6,4,6,10,14,9,11,4
UBCO,2016,W,BIOC,308, ,OVERALL,"PHARMACOLOGY I"," ",76,73.14,12.08,94,43,73,3,0,0,0,0,0,0,0,3,3,4,5,6,4,6,10,14,9,11,4
UBCO,2016,W,BIOC,309, ,001,"PHARMACOLOGY II","Ghosh, Sanjoy",62,74.84,12.19,98,50,62,0,0,0,0,0,0,0,0,0,0,5,3,5,5,5,6,5,13,8,7
UBCO,2016,W,BIOC,309, ,OVERALL,"PHARMACOLOGY II"," ",62,74.84,12.19,98,50,62,0,0,0,0,0,0,0,0,0,0,5,3,5,5,5,6,5,13,8,7
UBCO,2016,W,BIOC,310, ,001,"PLANT CHEM","Murch, Susan",30,88.76,9.12,100,71,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,4,17
UBCO,2016,W,BIOC,310, ,OVERALL,"PLANT CHEM"," ",30,88.76,9.12,100,71,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,4,17
UBCO,2016,W,BIOC,393, ,101,"BIOCHEM LAB","D'Souza, Brendan;Plunkett, Richard",55,83.04,11.11,97,37,54,1,0,0,0,0,0,0,1,0,1,1,1,1,0,2,1,4,18,8,18
UBCO,2016,W,BIOC,393, ,OVERALL,"BIOCHEM LAB"," ",55,83.04,11.11,97,37,54,1,0,0,0,0,0,0,1,0,1,1,1,1,0,2,1,4,18,8,18
