Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,BIOL,116, ,001,"BIOL SCI MAJOR I","D'Souza, Brendan",292,72.3,11.84,96,49,259,27,4,0,2,0,0,0,0,27,27,0,11,28,25,34,28,39,37,39,18
UBCO,2016,W,BIOL,116, ,002,"BIOL SCI MAJOR I","Nilson, Ellen",265,71.84,14.81,98,0,233,29,2,0,1,2,0,0,5,22,29,4,10,20,29,21,34,28,30,34,23
UBCO,2016,W,BIOL,116, ,OVERALL,"BIOL SCI MAJOR I"," ",563,72.08,13.33,98,0,492,56,12,0,3,2,0,0,5,49,56,4,21,48,54,55,62,67,67,73,41
UBCO,2016,W,BIOL,117, ,001,"EVOL & ECOLOGY","Nilson, Ellen",77,68.2,19.45,94,0,63,12,1,1,0,1,0,3,3,5,12,3,6,1,8,9,2,8,9,11,6
UBCO,2016,W,BIOL,117, ,OVERALL,"EVOL & ECOLOGY"," ",78,68.2,19.45,94,0,63,12,2,1,0,1,0,3,3,5,12,3,6,1,8,9,2,8,9,11,6
UBCO,2016,W,BIOL,122, ,001,"PHYS MULTICELL","Nilson, Ellen",55,67.65,13.95,97,34,43,8,4,0,0,0,0,0,1,7,8,0,6,2,12,6,2,5,3,3,4
UBCO,2016,W,BIOL,122, ,OVERALL,"PHYS MULTICELL"," ",59,67.65,13.95,97,34,43,8,8,0,0,0,0,0,1,7,8,0,6,2,12,6,2,5,3,3,4
UBCO,2016,W,BIOL,125, ,001,"BIOL SCI MAJR II","Nelson, Matthew",218,69.55,13.37,99,1,201,13,3,0,1,1,0,2,2,8,13,5,22,25,26,27,25,22,24,17,8
UBCO,2016,W,BIOL,125, ,002,"BIOL SCI MAJR II","Nelson, Matthew",251,67.56,13.14,95,1,224,25,2,0,0,1,0,2,4,18,25,10,25,21,30,44,27,26,21,12,8
UBCO,2016,W,BIOL,125, ,OVERALL,"BIOL SCI MAJR II"," ",474,68.48,13.27,99,1,425,38,10,0,1,2,0,4,6,26,38,15,47,46,56,71,52,48,45,29,16
UBCO,2016,W,BIOL,131, ,001,"HMN ANAT& PHYS I","Kluftinger, Janet",191,76.2,12.01,97,35,185,6,0,0,0,0,0,0,1,5,6,4,7,12,5,30,18,18,36,26,29
UBCO,2016,W,BIOL,131, ,OVERALL,"HMN ANAT& PHYS I"," ",191,76.2,12.01,97,35,185,6,0,0,0,0,0,0,1,5,6,4,7,12,5,30,18,18,36,26,29
UBCO,2016,W,BIOL,133, ,001,"HMN ANAT&PHYS II","Mathieson, W",162,77.66,10.49,98,52,161,0,1,0,0,0,0,0,0,0,0,1,6,15,8,15,23,17,25,27,24
UBCO,2016,W,BIOL,133, ,OVERALL,"HMN ANAT&PHYS II"," ",163,77.66,10.49,98,52,161,0,2,0,0,0,0,0,0,0,0,1,6,15,8,15,23,17,25,27,24
UBCO,2016,W,BIOL,200, ,001,"CELL BIOLOGY 1","Nelson, Matthew",217,64.99,14.59,96,0,186,27,4,0,0,1,0,1,5,20,27,24,28,20,20,21,15,20,17,14,7
UBCO,2016,W,BIOL,200, ,OVERALL,"CELL BIOLOGY 1"," ",217,64.99,14.59,96,0,186,27,4,0,0,1,0,1,5,20,27,24,28,20,20,21,15,20,17,14,7
