Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,CCS ,150, ,001,"C&C ART THRY 1","",38,69.58,22.69,91,0,32,4,1,0,1,2,1,0,0,1,4,1,3,0,3,3,0,7,6,6,3
UBCO,2016,W,CCS ,150, ,OVERALL,"C&C ART THRY 1"," ",38,69.58,22.69,91,0,32,4,1,0,1,2,1,0,0,1,4,1,3,0,3,3,0,7,6,6,3
UBCO,2016,W,CCS ,250, ,001,"C&C ART THRY 2","",20,71.2,18.59,90,0,19,1,0,0,0,1,0,0,0,0,1,0,1,0,1,4,2,4,5,1,1
UBCO,2016,W,CCS ,250, ,OVERALL,"C&C ART THRY 2"," ",20,71.2,18.59,90,0,19,1,0,0,0,1,0,0,0,0,1,0,1,0,1,4,2,4,5,1,1
UBCO,2016,W,CCS ,506, ,001,"MFA Colloq 1","",10,92,1.7,96,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
UBCO,2016,W,CCS ,506, ,OVERALL,"MFA Colloq 1"," ",10,92,1.7,96,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
UBCO,2016,W,CCS ,507, ,001,"MFA Colloq 2","",10,89,4.35,94,81,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6
UBCO,2016,W,CCS ,507, ,OVERALL,"MFA Colloq 2"," ",10,89,4.35,94,81,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6
UBCO,2016,W,CCS ,599, ,201,"MASTER'S THESIS","",12,,,,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBCO,2016,W,CCS ,599, ,OVERALL,"MASTER'S THESIS"," ",12,,,,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
