Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,CHEM,111, ,001,"PRINCPLS CHEM I","Neeland, Edward",38,56.94,18.18,86,10,22,12,4,0,0,0,1,2,2,7,12,1,3,3,4,3,4,1,2,1,0
UBCO,2016,W,CHEM,111, ,002,"PRINCPLS CHEM I","Kunz, Tamara",31,61.1,14.52,92,20,22,8,1,0,0,0,0,1,1,6,8,0,3,6,4,3,4,0,0,1,1
UBCO,2016,W,CHEM,111, ,003,"PRINCPLS CHEM I","Kunz, Tamara",18,62.44,11.33,86,45,14,4,0,0,0,0,0,0,0,4,4,0,2,3,5,1,0,2,0,1,0
UBCO,2016,W,CHEM,111, ,OVERALL,"PRINCPLS CHEM I"," ",97,59.67,15.58,92,10,58,24,15,0,0,0,1,3,3,17,24,1,8,12,13,7,8,3,2,3,1
UBCO,2016,W,CHEM,113, ,001,"PRIN CHEMISTRY 2","McNeil, W. Stephen",25,63.76,17.63,95,10,19,6,0,0,0,0,1,0,1,4,6,0,2,2,4,2,4,3,0,0,2
UBCO,2016,W,CHEM,113, ,002,"PRIN CHEMISTRY 2","Kunz, Tamara",24,60.38,13.9,89,29,20,4,0,0,0,0,0,1,2,1,4,2,3,7,2,3,0,0,2,1,0
UBCO,2016,W,CHEM,113, ,003,"PRIN CHEMISTRY 2","Kunz, Tamara",14,58,12.3,79,26,11,3,0,0,0,0,0,1,0,2,3,0,3,5,1,1,0,1,0,0,0
UBCO,2016,W,CHEM,113, ,OVERALL,"PRIN CHEMISTRY 2"," ",63,61.19,15.13,95,10,50,13,0,0,0,0,1,2,3,7,13,2,8,14,7,6,4,4,2,1,2
UBCO,2016,W,CHEM,121, ,001,"ATOM MOLCLR CHEM","Neeland, Edward",257,66.18,14.89,95,14,201,49,6,0,1,0,2,1,7,39,49,4,17,26,20,33,25,26,31,13,6
UBCO,2016,W,CHEM,121, ,002,"ATOM MOLCLR CHEM","Kunz, Tamara",263,68.45,17.32,100,0,217,42,4,0,0,3,3,4,3,29,42,2,11,24,24,39,21,31,25,18,22
UBCO,2016,W,CHEM,121, ,003,"ATOM MOLCLR CHEM","Kunz, Tamara",103,71.13,13.41,94,35,90,13,0,0,0,0,0,0,4,9,13,1,4,5,8,13,16,16,15,7,5
UBCO,2016,W,CHEM,121, ,OVERALL,"ATOM MOLCLR CHEM"," ",633,67.97,15.82,100,0,508,104,20,0,1,3,5,5,14,77,104,7,32,55,52,85,62,73,71,38,33
UBCO,2016,W,CHEM,123, ,001,"PHYS ORG CHEM","McNeil, W. Stephen",271,72.95,12.96,100,21,254,17,0,0,0,0,0,1,0,16,17,0,20,21,39,29,29,22,34,28,32
UBCO,2016,W,CHEM,123, ,002,"PHYS ORG CHEM","Kunz, Tamara",146,68.78,14.6,97,1,128,15,3,0,0,1,1,0,0,13,15,2,13,11,20,25,15,10,16,5,11
UBCO,2016,W,CHEM,123, ,003,"PHYS ORG CHEM","Kunz, Tamara",84,68.52,19.1,98,1,74,10,0,0,0,3,0,2,0,5,10,0,4,12,6,12,7,10,8,11,4
UBCO,2016,W,CHEM,123, ,OVERALL,"PHYS ORG CHEM"," ",504,71,14.75,100,1,456,42,6,0,0,4,1,3,0,34,42,2,37,44,65,66,51,42,58,44,47
UBCO,2016,W,CHEM,201, ,001,"INTR PHYS CHEM","Jack, David",115,68.68,18.99,96,1,98,16,1,0,0,2,1,2,4,7,16,4,10,6,7,13,13,11,8,15,11
UBCO,2016,W,CHEM,201, ,OVERALL,"INTR PHYS CHEM"," ",117,68.68,18.99,96,1,98,16,3,0,0,2,1,2,4,7,16,4,10,6,7,13,13,11,8,15,11
UBCO,2016,W,CHEM,203, ,001,"INTR ORGANIC CHM","Neeland, Edward",149,65.17,16.83,97,7,110,34,5,0,0,1,1,1,6,25,34,2,6,21,12,15,9,10,21,8,6
UBCO,2016,W,CHEM,203, ,OVERALL,"INTR ORGANIC CHM"," ",154,65.17,16.83,97,7,110,34,10,0,0,1,1,1,6,25,34,2,6,21,12,15,9,10,21,8,6
UBCO,2016,W,CHEM,204, ,001,"ORGANIC CHEM","Neeland, Edward",109,66.28,13.76,91,19,89,20,0,0,0,0,1,0,2,17,20,2,5,12,20,6,17,11,6,6,4
UBCO,2016,W,CHEM,204, ,OVERALL,"ORGANIC CHEM"," ",109,66.28,13.76,91,19,89,20,0,0,0,0,1,0,2,17,20,2,5,12,20,6,17,11,6,6,4
UBCO,2016,W,CHEM,211, ,001,"ANALYTICAL CHEM","Murch, Susan",53,79.49,19.05,99,10,45,4,4,0,0,0,1,1,1,1,4,0,1,2,2,2,2,7,5,8,16
UBCO,2016,W,CHEM,211, ,OVERALL,"ANALYTICAL CHEM"," ",57,79.49,19.05,99,10,45,4,8,0,0,0,1,1,1,1,4,0,1,2,2,2,2,7,5,8,16
UBCO,2016,W,CHEM,213, ,001,"ORG CHEM BIOL I","Shipley, Paul",169,69.78,15.04,100,6,147,20,2,0,0,2,0,0,1,17,20,2,12,18,15,21,18,12,20,12,17
UBCO,2016,W,CHEM,213, ,OVERALL,"ORG CHEM BIOL I"," ",171,69.78,15.04,100,6,147,20,4,0,0,2,0,0,1,17,20,2,12,18,15,21,18,12,20,12,17
UBCO,2016,W,CHEM,214, ,001,"ORG CHEM BIOL II","Shipley, Paul",168,61.87,16.36,100,27,113,53,2,0,0,0,0,1,9,43,53,4,21,13,14,13,16,5,11,5,11
UBCO,2016,W,CHEM,214, ,OVERALL,"ORG CHEM BIOL II"," ",169,61.87,16.36,100,27,113,53,3,0,0,0,0,1,9,43,53,4,21,13,14,13,16,5,11,5,11
UBCO,2016,W,CHEM,220, ,001,"A-STRUC & M BOND","McNeil, W. Stephen",52,64.65,25.32,95,0,36,13,3,0,0,1,3,4,0,5,13,0,1,3,4,3,3,5,4,5,8
UBCO,2016,W,CHEM,220, ,OVERALL,"A-STRUC & M BOND"," ",52,64.65,25.32,95,0,36,13,3,0,0,1,3,4,0,5,13,0,1,3,4,3,3,5,4,5,8
UBCO,2016,W,CHEM,301, ,001,"AQUEOUS ENVIRMNT","Federley, Richard",28,76.46,11.29,93,47,27,1,0,0,0,0,0,0,0,1,1,0,1,1,5,1,2,2,8,5,2
UBCO,2016,W,CHEM,301, ,OVERALL,"AQUEOUS ENVIRMNT"," ",28,76.46,11.29,93,47,27,1,0,0,0,0,0,0,0,1,1,0,1,1,5,1,2,2,8,5,2
UBCO,2016,W,CHEM,302, ,001,"ATMSPHR ENVIRMNT","Federley, Richard",24,72.87,20.21,92,0,21,2,1,0,0,1,0,0,0,1,2,1,1,0,1,3,2,3,4,2,4
UBCO,2016,W,CHEM,302, ,OVERALL,"ATMSPHR ENVIRMNT"," ",24,72.87,20.21,92,0,21,2,1,0,0,1,0,0,0,1,2,1,1,0,1,3,2,3,4,2,4
UBCO,2016,W,CHEM,304, ,001,"AVD PHYS CHEM","Jack, David",27,73.93,15.6,98,21,26,1,0,0,0,0,0,1,0,0,1,0,1,2,7,1,2,2,5,1,5
UBCO,2016,W,CHEM,304, ,OVERALL,"AVD PHYS CHEM"," ",27,73.93,15.6,98,21,26,1,0,0,0,0,0,1,0,0,1,0,1,2,7,1,2,2,5,1,5
UBCO,2016,W,CHEM,305, ,001,"PHYSICAL CHEM","Jack, David",59,69.68,14.34,94,29,56,3,0,0,0,0,0,1,0,2,3,6,7,6,6,5,4,4,4,10,4
