Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,COSC,101, ,001,"DIGTL CITIZENSHP","Hui, Bowen",76,77.79,14.02,96,39,63,4,2,0,7,0,0,0,1,3,4,1,4,1,3,5,5,10,6,14,14
UBCO,2016,W,COSC,101, ,OVERALL,"DIGTL CITIZENSHP"," ",78,77.79,14.02,96,39,63,4,4,0,7,0,0,0,1,3,4,1,4,1,3,5,5,10,6,14,14
UBCO,2016,W,COSC,111, ,001,"COMP PROG I","Mohamed, Abdallah",196,69.55,20.23,100,13,139,47,3,1,6,0,1,5,5,36,47,3,5,8,9,13,19,12,15,18,37
UBCO,2016,W,COSC,111, ,101,"COMP PROG I","Hui, Bowen",74,74.82,21.22,100,19,51,16,4,0,3,0,1,0,3,12,16,0,0,2,1,2,6,5,7,6,22
UBCO,2016,W,COSC,111, ,OVERALL,"COMP PROG I"," ",277,70.94,20.59,100,13,190,63,14,1,9,0,2,5,8,48,63,3,5,10,10,15,25,17,22,24,59
UBCO,2016,W,COSC,114, ,001,"VCTRS GRPHC & AN","Thorogood, Miles",50,65.38,24.7,98,0,38,10,2,0,0,3,1,0,2,4,10,2,2,5,0,5,2,4,11,3,4
UBCO,2016,W,COSC,114, ,OVERALL,"VCTRS GRPHC & AN"," ",52,65.38,24.7,98,0,38,10,4,0,0,3,1,0,2,4,10,2,2,5,0,5,2,4,11,3,4
UBCO,2016,W,COSC,121, ,001,"COMP PROGR II","Mohamed, Abdallah",142,66.45,20.54,100,20,95,35,5,0,7,0,0,4,9,22,35,4,9,9,7,12,7,7,6,8,26
UBCO,2016,W,COSC,121, ,OVERALL,"COMP PROGR II"," ",147,66.45,20.54,100,20,95,35,10,0,7,0,0,4,9,22,35,4,9,9,7,12,7,7,6,8,26
UBCO,2016,W,COSC,122, ,001,"COMP FLUENCY","Mohamed, Abdallah",118,80.22,13.72,100,42,105,6,4,0,3,0,0,0,0,6,6,2,1,4,4,7,9,9,22,17,30
UBCO,2016,W,COSC,122, ,OVERALL,"COMP FLUENCY"," ",122,80.22,13.72,100,42,105,6,8,0,3,0,0,0,0,6,6,2,1,4,4,7,9,9,22,17,30
UBCO,2016,W,COSC,123, ,001,"COMP CREATIVITY","Mohamed, Abdallah",58,79.31,15.61,100,45,47,4,5,0,2,0,0,0,0,4,4,2,0,1,2,3,5,6,4,6,18
UBCO,2016,W,COSC,123, ,OVERALL,"COMP CREATIVITY"," ",63,79.31,15.61,100,45,47,4,10,0,2,0,0,0,0,4,4,2,0,1,2,3,5,6,4,6,18
UBCO,2016,W,COSC,150, ,001,"PHYSCAL COMP","Thorogood, Miles",27,74.92,15.72,93,33,24,2,1,0,0,0,0,0,1,1,2,1,1,1,1,4,1,3,3,4,5
UBCO,2016,W,COSC,150, ,OVERALL,"PHYSCAL COMP"," ",28,74.92,15.72,93,33,24,2,2,0,0,0,0,0,1,1,2,1,1,1,1,4,1,3,3,4,5
UBCO,2016,W,COSC,211, ,001,"MACH ARCH","Mohamed, Abdallah",67,67.77,16.85,99,20,58,7,0,1,1,0,0,3,1,3,7,3,8,6,4,6,7,8,5,5,6
UBCO,2016,W,COSC,211, ,OVERALL,"MACH ARCH"," ",67,67.77,16.85,99,20,58,7,0,1,1,0,0,3,1,3,7,3,8,6,4,6,7,8,5,5,6
UBCO,2016,W,COSC,221, ,001,"INTRO DISCRT STR","Gao, Yong",87,72.47,15.86,99,0,84,2,1,0,0,1,1,0,0,0,2,2,9,9,9,14,7,4,9,7,14
UBCO,2016,W,COSC,221, ,OVERALL,"INTRO DISCRT STR"," ",88,72.47,15.86,99,0,84,2,2,0,0,1,1,0,0,0,2,2,9,9,9,14,7,4,9,7,14
UBCO,2016,W,COSC,222, ,001,"DATA STRUCTURES","Lucet, Yves",79,78.91,12.08,95,45,71,6,1,0,1,0,0,0,0,6,6,0,0,2,1,2,10,4,25,19,8
UBCO,2016,W,COSC,222, ,OVERALL,"DATA STRUCTURES"," ",80,78.91,12.08,95,45,71,6,2,0,1,0,0,0,0,6,6,0,0,2,1,2,10,4,25,19,8
UBCO,2016,W,COSC,303, ,001,"NUMERICAL ANALYS","Wang, Shawn",15,83.4,6.64,95,68,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,3,3
UBCO,2016,W,COSC,303, ,OVERALL,"NUMERICAL ANALYS"," ",15,83.4,6.64,95,68,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,3,3
UBCO,2016,W,COSC,304, ,001,"INTRO DATABASES","Lawrence, Ramon",86,76.58,10.34,99,48,83,1,0,1,1,0,0,0,0,1,1,2,2,4,4,9,21,11,12,8,10
