Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,CRWR,150, ,001,"WRT POETRY NFICT","Rader, Matthew Lee",48,78.13,10.13,93,37,45,2,1,0,0,0,0,0,1,1,2,0,0,0,1,3,6,12,14,5,4
UBCO,2016,W,CRWR,150, ,002,"WRT POETRY NFICT","Rosnau, Laisha",47,75.14,10.8,88,20,43,1,3,0,0,0,0,1,0,0,1,1,1,0,1,1,11,16,8,4,0
UBCO,2016,W,CRWR,150, ,OVERALL,"WRT POETRY NFICT"," ",95,76.68,10.51,93,20,88,3,4,0,0,0,0,1,1,1,3,1,1,0,2,4,17,28,22,9,4
UBCO,2016,W,CRWR,160, ,001,"WRT FICTN DRAMA","Smith, Michael",46,75.11,14.69,90,13,43,2,1,0,0,0,2,0,0,0,2,0,0,2,3,2,5,8,18,4,1
UBCO,2016,W,CRWR,160, ,101,"WRT FICTN DRAMA","Tomlinson, Dania",42,81.33,11.59,94,36,40,2,0,0,0,0,0,0,1,1,2,0,0,0,0,3,2,7,9,10,9
UBCO,2016,W,CRWR,160, ,OVERALL,"WRT FICTN DRAMA"," ",88,78.11,13.57,94,13,83,4,1,0,0,0,2,0,1,1,4,0,0,2,3,5,7,15,27,14,10
UBCO,2016,W,CRWR,205, ,001,"WRTG POP FICTION","Fleming, Anne",50,75.98,17.69,91,0,48,2,0,0,0,2,0,0,0,0,2,1,2,1,0,2,8,7,15,11,1
UBCO,2016,W,CRWR,205, ,OVERALL,"WRTG POP FICTION"," ",50,75.98,17.69,91,0,48,2,0,0,0,2,0,0,0,0,2,1,2,1,0,2,8,7,15,11,1
UBCO,2016,W,CRWR,216, ,002,"WKSHP CW: POETRY","Smith, Michael",20,82.7,6.18,93,67,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,7,6,2
UBCO,2016,W,CRWR,216, ,OVERALL,"WKSHP CW: POETRY"," ",20,82.7,6.18,93,67,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,7,6,2
UBCO,2016,W,CRWR,217, ,001,"WKSHP CW: FICTN","Fleming, Anne",23,78.09,8.63,90,56,22,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,5,4,6,4,1
UBCO,2016,W,CRWR,217, ,OVERALL,"WKSHP CW: FICTN"," ",23,78.09,8.63,90,56,22,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,5,4,6,4,1
UBCO,2016,W,CRWR,218, ,001,"WKSHP CW: PLAY","Fleming, Anne",8,69.5,28.46,85,0,7,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,3,1,0
UBCO,2016,W,CRWR,218, ,OVERALL,"WKSHP CW: PLAY"," ",8,69.5,28.46,85,0,7,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,3,1,0
UBCO,2016,W,CRWR,250, ,001,"WKSHP CW: SCRNWR","Smith, Michael",14,73.23,12.76,91,50,13,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,1,5,1,1,1
UBCO,2016,W,CRWR,250, ,OVERALL,"WKSHP CW: SCRNWR"," ",14,73.23,12.76,91,50,13,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,1,5,1,1,1
UBCO,2016,W,CRWR,260, ,001,"TH & PRAC CR WR","Rader, Matthew Lee",21,85.95,8.12,97,65,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,9,5
UBCO,2016,W,CRWR,260, ,OVERALL,"TH & PRAC CR WR"," ",21,85.95,8.12,97,65,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,9,5
UBCO,2016,W,CRWR,310, ,001,"POWER METAPHOR","Holmes, Nancy",12,70,20.67,86,8,11,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,4,0,2,2,0
UBCO,2016,W,CRWR,310, ,OVERALL,"POWER METAPHOR"," ",12,70,20.67,86,8,11,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,4,0,2,2,0
UBCO,2016,W,CRWR,380, ,001,"WRIT'G SH STORY","Rader, Matthew Lee",12,82.83,7.3,92,68,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,2
UBCO,2016,W,CRWR,380, ,OVERALL,"WRIT'G SH STORY"," ",12,82.83,7.3,92,68,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,2
UBCO,2016,W,CRWR,381, ,001,"WRIT'G OF POETRY","Fleming, Anne",12,78,11.35,89,55,12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,4,4,0
UBCO,2016,W,CRWR,381, ,OVERALL,"WRIT'G OF POETRY"," ",12,78,11.35,89,55,12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,4,4,0
UBCO,2016,W,CRWR,382,O,001,"TOPICS CR WRIT'G","Kenney, Denise",15,83.07,3.9,87,74,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,0
UBCO,2016,W,CRWR,382, ,OVERALL,"TOPICS CR WRIT'G"," ",15,83.07,3.9,87,74,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,8,0
UBCO,2016,W,CRWR,470, ,OVERALL,"PORTFOLIO"," ",5,76.6,5.5,85,71,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0
UBCO,2016,W,CRWR,470,B,001,"PORTFOLIO","Fleming, Anne",5,76.6,5.5,85,71,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0
UBCO,2016,W,CRWR,470, ,OVERALL,"PORTFOLIO"," ",5,76.6,5.5,85,71,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0
UBCO,2016,W,CRWR,471, ,001,"NOVEL ADV WRKSHP","Schroeder, Adam",15,85.47,7.19,96,71,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,5
UBCO,2016,W,CRWR,471, ,OVERALL,"NOVEL ADV WRKSHP"," ",15,85.47,7.19,96,71,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,5,5
UBCO,2016,W,CRWR,473, ,001,"WRITNG CMNTY LRN","Rader, Matthew Lee",8,70.13,31.46,98,0,7,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,1,3
UBCO,2016,W,CRWR,473, ,OVERALL,"WRITNG CMNTY LRN"," ",8,70.13,31.46,98,0,7,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,1,3
UBCO,2016,W,CRWR,474, ,001,"WRITNG WTH MEDIA","Smith, Michael",14,73.21,20.25,88,11,13,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,2,3,4,0
UBCO,2016,W,CRWR,474, ,OVERALL,"WRITNG WTH MEDIA"," ",14,73.21,20.25,88,11,13,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,2,3,4,0
UBCO,2016,W,CRWR,580,A,001,"GRAD WRKSHP CRWR","Mathur, Ashok",5,94,1.15,95,93,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UBCO,2016,W,CRWR,580, ,OVERALL,"GRAD WRKSHP CRWR"," ",5,94,1.15,95,93,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
