Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,CULT,100, ,001,"MDA POP CLT GBL ","Lee, Ruthann",79,74.27,10.98,94,40,75,2,1,1,0,0,0,0,0,2,2,2,3,5,6,12,11,7,16,10,3
UBCO,2016,W,CULT,100, ,002,"MDA POP CLT GBL ","Lee, Ruthann",49,73.17,12.41,93,23,46,2,0,0,1,0,0,1,0,1,2,0,2,3,7,6,9,5,6,4,4
UBCO,2016,W,CULT,100, ,OVERALL,"MDA POP CLT GBL "," ",128,73.85,11.52,94,23,121,4,1,1,1,0,0,1,0,3,4,2,5,8,13,18,20,12,22,14,7
UBCO,2016,W,CULT,101, ,001,"CULT STUD PRACT","Yoon, Kyongwon",49,69.04,11.86,88,31,46,3,0,0,0,0,0,0,2,1,3,1,3,4,7,10,9,3,4,5,0
UBCO,2016,W,CULT,101, ,002,"CULT STUD PRACT","Keyes, Daniel",43,67.55,9.6,84,35,41,1,1,0,0,0,0,0,1,0,1,2,3,8,8,4,7,5,4,0,0
UBCO,2016,W,CULT,101, ,OVERALL,"CULT STUD PRACT"," ",92,68.35,10.84,88,31,87,4,1,0,0,0,0,0,3,1,4,3,6,12,15,14,16,8,8,5,0
UBCO,2016,W,CULT,215, ,001,"CULT INDUSTRIES","Yoon, Kyongwon",30,69.07,21.26,92,5,27,3,0,0,0,1,1,1,0,0,3,2,2,0,1,2,5,4,5,5,1
UBCO,2016,W,CULT,215, ,OVERALL,"CULT INDUSTRIES"," ",30,69.07,21.26,92,5,27,3,0,0,0,1,1,1,0,0,3,2,2,0,1,2,5,4,5,5,1
UBCO,2016,W,CULT,230, ,001,"FNDN RDG BORDERS","Jefferess, David",13,74.92,8.44,86,54,13,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,3,3,1,0
UBCO,2016,W,CULT,230, ,OVERALL,"FNDN RDG BORDERS"," ",13,74.92,8.44,86,54,13,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,3,3,1,0
UBCO,2016,W,CULT,275, ,001,"FNDN INTDS RSRCH","Jacques, Melissa",8,63.38,29.97,86,10,6,2,0,0,0,0,1,1,0,0,2,0,0,0,1,0,1,1,1,2,0
UBCO,2016,W,CULT,275, ,OVERALL,"FNDN INTDS RSRCH"," ",8,63.38,29.97,86,10,6,2,0,0,0,0,1,1,0,0,2,0,0,0,1,0,1,1,1,2,0
UBCO,2016,W,CULT,312, ,001,"INTERNET CULT","Yoon, Kyongwon",30,78.04,8.57,90,55,28,0,2,0,0,0,0,0,0,0,0,0,1,0,2,2,4,6,5,7,1
UBCO,2016,W,CULT,312, ,OVERALL,"INTERNET CULT"," ",30,78.04,8.57,90,55,28,0,2,0,0,0,0,0,0,0,0,0,1,0,2,2,4,6,5,7,1
UBCO,2016,W,CULT,315, ,001,"TV STUDIES","Keyes, Daniel",12,77.27,9.17,91,54,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3,4,0,1
UBCO,2016,W,CULT,315, ,OVERALL,"TV STUDIES"," ",12,77.27,9.17,91,54,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,3,4,0,1
UBCO,2016,W,CULT,320, ,001,"CREATVE ACTIVISM","Lee, Ruthann",20,79.25,11.68,94,53,20,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,6,3,4
UBCO,2016,W,CULT,320, ,OVERALL,"CREATVE ACTIVISM"," ",20,79.25,11.68,94,53,20,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,6,3,4
UBCO,2016,W,CULT,325, ,001,"MEDIA & POLI ID","Lee, Ruthann",40,78.69,7.3,96,57,39,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,5,10,11,7,1
UBCO,2016,W,CULT,325, ,OVERALL,"MEDIA & POLI ID"," ",40,78.69,7.3,96,57,39,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,5,10,11,7,1
UBCO,2016,W,CULT,341, ,001,"GLBLZTN LIT CULT","Jefferess, David",20,75.16,11.63,94,53,19,0,1,0,0,0,0,0,0,0,0,2,0,2,0,2,2,1,7,1,2
UBCO,2016,W,CULT,341, ,OVERALL,"GLBLZTN LIT CULT"," ",20,75.16,11.63,94,53,19,0,1,0,0,0,0,0,0,0,0,2,0,2,0,2,2,1,7,1,2
