Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,ECON,101, ,001,"PRIN MICRO ECON","Ozawa, Noriko",247,67.46,16.19,97,0,220,24,3,0,0,3,1,1,6,13,24,21,26,23,24,18,23,20,31,20,14
UBCO,2016,W,ECON,101, ,002,"PRIN MICRO ECON","Islam, Khan",117,69.11,11.5,90,32,110,4,3,0,0,0,0,0,1,3,4,8,8,17,10,15,17,8,19,4,4
UBCO,2016,W,ECON,101, ,003,"PRIN MICRO ECON","Ozawa, Noriko",200,65.69,19.54,99,0,159,35,5,0,1,3,2,4,10,16,35,12,14,8,13,23,23,20,18,14,14
UBCO,2016,W,ECON,101, ,OVERALL,"PRIN MICRO ECON"," ",564,67.18,16.67,99,0,489,63,11,0,1,6,3,5,17,32,63,41,48,48,47,56,63,48,68,38,32
UBCO,2016,W,ECON,102, ,001,"PRINCPL MACRECON","Pinno, Karl",119,74,11.96,100,22,114,3,2,0,0,0,0,1,0,2,3,2,4,10,13,19,14,8,25,9,10
UBCO,2016,W,ECON,102, ,002,"PRINCPL MACRECON","Pinno, Karl",119,70.24,16.47,100,0,112,7,0,0,0,3,0,0,1,3,7,4,7,13,15,12,15,12,15,13,6
UBCO,2016,W,ECON,102, ,003,"PRINCPL MACRECON","Picault, Julien",249,64.33,17.45,90,0,217,28,4,0,0,8,3,0,6,11,28,13,22,27,32,27,31,26,26,9,4
UBCO,2016,W,ECON,102, ,OVERALL,"PRINCPL MACRECON"," ",487,68.15,16.52,100,0,443,38,6,0,0,11,3,1,7,16,38,19,33,50,60,58,60,46,66,31,20
UBCO,2016,W,ECON,204, ,001,"INT MICROEC ANYL","Ozawa, Noriko",78,60.13,17.47,95,5,57,19,2,0,0,1,0,2,4,12,19,10,5,5,8,6,6,6,8,2,1
UBCO,2016,W,ECON,204, ,002,"INT MICROEC ANYL","Javdani, Mohsen",61,70.59,15.97,100,30,57,4,0,0,0,0,0,0,2,2,4,6,6,4,6,4,9,1,8,6,7
UBCO,2016,W,ECON,204, ,OVERALL,"INT MICROEC ANYL"," ",139,64.79,17.55,100,5,114,23,2,0,0,1,0,2,6,14,23,16,11,9,14,10,15,7,16,8,8
UBCO,2016,W,ECON,205, ,001,"INT MACROEC ANYL","Carlaw, Kenneth",48,64.07,13.61,88,26,39,7,2,0,0,0,0,1,1,5,7,5,7,3,3,4,9,2,3,3,0
UBCO,2016,W,ECON,205, ,002,"INT MACROEC ANYL","Carlaw, Kenneth",47,64.91,15.54,88,7,42,5,0,0,0,1,0,1,1,2,5,2,5,6,7,4,9,3,3,3,0
UBCO,2016,W,ECON,205, ,OVERALL,"INT MACROEC ANYL"," ",95,64.49,14.54,88,7,81,12,2,0,0,1,0,2,2,7,12,7,12,9,10,8,18,5,6,6,0
UBCO,2016,W,ECON,221, ,001,"INTR STRAT THINK","Javdani, Mohsen",77,64.87,17.27,99,20,65,12,0,0,0,0,0,2,4,6,12,10,7,11,5,2,5,6,8,4,7
