Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,EESC,101, ,001,"ENVIRO SCI","Scott, David",143,62.13,18.09,90,0,120,21,2,0,0,5,0,3,8,5,21,14,14,16,15,16,9,18,7,9,2
UBCO,2016,W,EESC,101, ,OVERALL,"ENVIRO SCI"," ",143,62.13,18.09,90,0,120,21,2,0,0,5,0,3,8,5,21,14,14,16,15,16,9,18,7,9,2
UBCO,2016,W,EESC,111, ,001,"EARTH SCIENCE","Hornibrook, Edward",225,61.25,14.88,92,0,181,33,11,0,0,1,4,3,5,20,33,33,21,28,24,19,24,10,14,7,1
UBCO,2016,W,EESC,111, ,OVERALL,"EARTH SCIENCE"," ",236,61.25,14.88,92,0,181,33,22,0,0,1,4,3,5,20,33,33,21,28,24,19,24,10,14,7,1
UBCO,2016,W,EESC,121, ,001,"EARTH HISTORY","Young, Robert",103,64.51,12.52,90,0,95,6,1,1,0,1,0,1,1,3,6,8,6,20,12,21,10,11,1,5,1
UBCO,2016,W,EESC,121, ,OVERALL,"EARTH HISTORY"," ",104,64.51,12.52,90,0,95,6,2,1,0,1,0,1,1,3,6,8,6,20,12,21,10,11,1,5,1
UBCO,2016,W,EESC,200, ,001,"MINERALOGY","Chen, Yuan",22,73.32,10.33,93,52,22,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,5,3,2,1,2
UBCO,2016,W,EESC,200, ,OVERALL,"MINERALOGY"," ",22,73.32,10.33,93,52,22,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,5,3,2,1,2
UBCO,2016,W,EESC,205, ,001,"INTRO HYDROLOGY","de Scally, Fes Alexander",29,76.69,11.25,95,43,28,1,0,0,0,0,0,0,0,1,1,0,1,1,1,4,4,5,4,4,4
UBCO,2016,W,EESC,205, ,OVERALL,"INTRO HYDROLOGY"," ",29,76.69,11.25,95,43,28,1,0,0,0,0,0,0,0,1,1,0,1,1,1,4,4,5,4,4,4
UBCO,2016,W,EESC,212, ,001,"WEATHER CLIMATE","Saunders, Ian",18,72.17,9.65,89,60,18,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,4,4,1,0
UBCO,2016,W,EESC,212, ,OVERALL,"WEATHER CLIMATE"," ",18,72.17,9.65,89,60,18,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,4,4,1,0
UBCO,2016,W,EESC,213, ,001,"INTRO FRST SCIE","Wei, Xiaohua",49,68.53,14.01,92,34,44,5,0,0,0,0,0,0,3,2,5,3,3,5,5,5,5,8,4,4,2
UBCO,2016,W,EESC,213, ,OVERALL,"INTRO FRST SCIE"," ",49,68.53,14.01,92,34,44,5,0,0,0,0,0,0,3,2,5,3,3,5,5,5,5,8,4,4,2
UBCO,2016,W,EESC,222, ,001,"GEOMORPHOLOGY","Bauer, Bernard",40,70.13,13.84,94,35,38,2,0,0,0,0,0,0,2,0,2,2,5,2,4,5,3,7,5,2,3
