Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,ENGL,112, ,001,"STUDIES IN COMP","Vickery, Jon",35,76.8,12.85,91,24,34,1,0,0,0,0,0,1,0,0,1,1,0,1,3,1,5,8,5,9,1
UBCO,2016,W,ENGL,112, ,002,"STUDIES IN COMP","Senger, Lainie",35,90.03,6.51,98,72,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,9,20
UBCO,2016,W,ENGL,112, ,003,"STUDIES IN COMP","Cockerline, Joanna",35,79.83,6.11,93,65,35,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,6,14,6,1
UBCO,2016,W,ENGL,112, ,004,"STUDIES IN COMP","Cockerline, Joanna",34,67.56,17.54,88,0,31,3,0,0,0,1,0,0,1,1,3,3,2,1,5,2,4,7,4,3,0
UBCO,2016,W,ENGL,112, ,005,"STUDIES IN COMP","Cockerline, Joanna",35,79.89,12.76,92,13,34,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,2,6,13,7,4
UBCO,2016,W,ENGL,112, ,006,"STUDIES IN COMP","Harrison, Shona",35,73.97,4.89,85,64,33,0,2,0,0,0,0,0,0,0,0,0,0,0,3,8,9,9,3,1,0
UBCO,2016,W,ENGL,112, ,007,"STUDIES IN COMP","Harrison, Shona",35,72.91,12.15,83,10,33,1,1,0,0,0,1,0,0,0,1,0,1,0,0,6,7,15,4,0,0
UBCO,2016,W,ENGL,112, ,008,"STUDIES IN COMP","Senger, Lainie",35,89.74,8.44,99,60,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,10,21
UBCO,2016,W,ENGL,112, ,009,"STUDIES IN COMP","McDonald, Shirley",36,74.03,11.07,87,30,32,1,2,0,1,0,0,0,1,0,1,0,2,3,1,1,1,14,8,2,0
UBCO,2016,W,ENGL,112, ,010,"STUDIES IN COMP","Harrison, Shona",35,70.5,13.68,85,3,33,1,1,0,0,1,0,0,0,0,1,0,2,3,2,5,9,9,2,1,0
UBCO,2016,W,ENGL,112, ,011,"STUDIES IN COMP","Harrison, Shona",38,75.26,5.46,88,62,38,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,8,13,7,1,0
UBCO,2016,W,ENGL,112, ,012,"STUDIES IN COMP","McDonald, Shirley",35,69.68,15.6,84,4,32,2,1,0,0,1,0,0,1,0,2,2,0,4,4,2,5,6,9,0,0
UBCO,2016,W,ENGL,112, ,013,"STUDIES IN COMP","Cockerline, Joanna",36,78.36,6.85,92,56,36,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,9,14,4,1
UBCO,2016,W,ENGL,112, ,014,"STUDIES IN COMP","Vickery, Jon",35,77.51,8.48,89,51,35,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,4,12,5,8,0
UBCO,2016,W,ENGL,112, ,101,"STUDIES IN COMP","Shaw, Catherine",36,68.56,18.62,96,10,30,4,2,0,0,0,1,0,1,2,4,1,4,2,1,6,3,2,7,0,4
UBCO,2016,W,ENGL,112, ,104,"STUDIES IN COMP","Payson, Jennifer;Senger, Lainie",35,80.71,15.82,97,24,33,2,0,0,0,0,0,2,0,0,2,0,0,1,1,0,0,4,9,11,7
UBCO,2016,W,ENGL,112, ,105,"STUDIES IN COMP","Payson, Jennifer;Senger, Lainie",35,85.23,7.78,96,64,35,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,3,14,11
UBCO,2016,W,ENGL,112, ,106,"STUDIES IN COMP","McDonald, Shirley",36,71.78,17.49,88,0,33,3,0,0,0,1,0,0,1,1,3,1,2,1,3,1,3,7,10,5,0
UBCO,2016,W,ENGL,112, ,107,"STUDIES IN COMP","Vickery, Jon",35,74.12,10.1,89,50,34,0,0,1,0,0,0,0,0,0,0,3,2,0,0,3,10,7,5,4,0
UBCO,2016,W,ENGL,112, ,108,"STUDIES IN COMP","Vickery, Jon",35,75.97,7.61,88,50,34,0,1,0,0,0,0,0,0,0,0,1,0,0,2,6,6,7,8,4,0
UBCO,2016,W,ENGL,112, ,109,"STUDIES IN COMP","Shaw, Catherine",35,68.69,25.57,95,1,30,5,0,0,0,2,1,1,0,1,5,3,1,2,3,1,2,3,2,5,8
UBCO,2016,W,ENGL,112, ,110,"STUDIES IN COMP","Shaw, Catherine",35,72.18,19.34,92,1,30,3,2,0,0,1,0,1,1,0,3,0,1,2,0,2,4,10,4,5,2
UBCO,2016,W,ENGL,112, ,112,"STUDIES IN COMP","McDonald, Shirley",35,69.53,8.1,82,52,34,0,1,0,0,0,0,0,0,0,0,1,4,4,4,4,8,6,3,0,0
UBCO,2016,W,ENGL,112, ,113,"STUDIES IN COMP","McDonald, Shirley",42,64.63,18.23,89,11,35,6,0,0,1,0,2,1,1,2,6,1,2,4,6,8,4,3,3,4,0
UBCO,2016,W,ENGL,112, ,114,"STUDIES IN COMP","Cockerline, Joanna",35,70.57,16.04,91,0,32,3,0,0,0,1,0,0,1,1,3,0,0,1,5,6,5,8,5,1,1
UBCO,2016,W,ENGL,112, ,OVERALL,"STUDIES IN COMP"," ",888,75.1,14.69,99,0,836,36,13,1,2,8,6,6,8,8,36,18,24,33,54,75,111,175,151,114,81
UBCO,2016,W,ENGL,114, ,101,"STDY COMP ABRGN","Hargreaves, Allison",25,68.91,21.2,84,0,21,2,1,0,1,2,0,0,0,0,2,0,0,1,1,3,6,3,7,0,0
UBCO,2016,W,ENGL,114, ,OVERALL,"STDY COMP ABRGN"," ",25,68.91,21.2,84,0,21,2,1,0,1,2,0,0,0,0,2,0,0,1,1,3,6,3,7,0,0
UBCO,2016,W,ENGL,150, ,001,"INTRO LIT GENRE","Lovesey, Oliver",35,70.31,9.66,91,40,34,1,0,0,0,0,0,0,0,1,1,0,2,2,6,10,2,7,3,0,2
UBCO,2016,W,ENGL,150, ,002,"INTRO LIT GENRE","Jacques, Melissa",35,73.14,14.89,88,0,34,1,0,0,0,1,0,0,0,0,1,1,1,1,1,3,8,10,6,3,0
UBCO,2016,W,ENGL,150, ,003,"INTRO LIT GENRE","Araujo, Anderson",35,73.57,11.45,86,35,34,1,0,0,0,0,0,0,1,0,1,2,0,2,4,3,3,6,11,3,0
UBCO,2016,W,ENGL,150, ,004,"INTRO LIT GENRE","Lovesey, Oliver",35,65.44,21.08,92,0,29,5,1,0,0,2,0,0,1,2,5,2,2,1,4,3,5,6,1,2,3
UBCO,2016,W,ENGL,150, ,005,"INTRO LIT GENRE","Milton, Paul",35,70.57,8.47,84,47,34,1,0,0,0,0,0,0,0,1,1,1,0,3,8,7,5,4,6,0,0
UBCO,2016,W,ENGL,150, ,006,"INTRO LIT GENRE","Milton, Paul",34,71.65,13.92,84,0,33,1,0,0,0,1,0,0,0,0,1,0,0,1,6,3,11,4,8,0,0
UBCO,2016,W,ENGL,150, ,007,"INTRO LIT GENRE","Araujo, Anderson",35,72.14,16.85,86,9,33,2,0,0,0,1,0,1,0,0,2,1,1,1,5,2,5,1,13,4,0
UBCO,2016,W,ENGL,150, ,102,"INTRO LIT GENRE","Milton, Paul",35,63.06,17.74,85,0,30,5,0,0,0,2,0,0,0,3,5,1,1,8,3,5,6,4,0,2,0
UBCO,2016,W,ENGL,150, ,104,"INTRO LIT GENRE","Milton, Paul",38,69.87,9.36,88,43,37,1,0,0,0,0,0,0,0,1,1,1,2,2,7,11,4,4,3,3,0
UBCO,2016,W,ENGL,150, ,105,"INTRO LIT GENRE","Harrison, Shona",35,67.53,20.65,86,0,31,3,1,0,0,2,0,1,0,0,3,1,2,0,4,2,7,7,7,1,0
UBCO,2016,W,ENGL,150, ,OVERALL,"INTRO LIT GENRE"," ",352,69.74,15.14,92,0,329,21,2,0,0,9,0,2,2,8,21,10,11,21,48,49,56,53,58,18,5
