Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,ENGR,303, ,101,"ENGR PROJ MGMT","Hewage, Kasun",265,71.57,8.54,93,40,260,3,0,1,1,0,0,0,0,3,3,2,15,21,36,39,54,38,30,22,3
UBCO,2016,W,ENGR,303, ,OVERALL,"ENGR PROJ MGMT"," ",265,71.57,8.54,93,40,260,3,0,1,1,0,0,0,0,3,3,2,15,21,36,39,54,38,30,22,3
UBCO,2016,W,ENGR,305, ,201,"ENGR ECON ANALYS","Lovegrove, Gordon",270,70.94,9.5,94,27,261,6,0,0,3,0,0,1,2,3,6,1,8,38,46,44,41,32,32,14,5
UBCO,2016,W,ENGR,305, ,OVERALL,"ENGR ECON ANALYS"," ",270,70.94,9.5,94,27,261,6,0,0,3,0,0,1,2,3,6,1,8,38,46,44,41,32,32,14,5
UBCO,2016,W,ENGR,310, ,101,"FLUID MECHNCS II","Yan, Yu",108,76.51,13.82,99,30,103,5,0,0,0,0,0,0,1,4,5,3,2,11,5,6,15,10,17,12,22
UBCO,2016,W,ENGR,310, ,OVERALL,"FLUID MECHNCS II"," ",108,76.51,13.82,99,30,103,5,0,0,0,0,0,0,1,4,5,3,2,11,5,6,15,10,17,12,22
UBCO,2016,W,ENGR,315, ,201,"SYSTEMS CONTROL","Najjaran, Homayoun",173,78.4,12.61,100,46,170,2,0,0,1,0,0,0,0,2,2,6,8,9,11,14,15,9,24,32,42
UBCO,2016,W,ENGR,315, ,OVERALL,"SYSTEMS CONTROL"," ",173,78.4,12.61,100,46,170,2,0,0,1,0,0,0,0,2,2,6,8,9,11,14,15,9,24,32,42
UBCO,2016,W,ENGR,320, ,201,"ELCTROMCHNCL DEV","Eberle, Wilson",174,74.11,11.45,96,6,170,3,0,0,1,1,0,0,1,1,3,5,5,8,16,24,32,24,27,22,7
UBCO,2016,W,ENGR,320, ,OVERALL,"ELCTROMCHNCL DEV"," ",174,74.11,11.45,96,6,170,3,0,0,1,1,0,0,1,1,3,5,5,8,16,24,32,24,27,22,7
UBCO,2016,W,ENGR,325, ,101,"CIVIL ENG MATRLS","Alam, Shahria",83,77.53,7.84,97,44,82,1,0,0,0,0,0,0,0,1,1,0,0,1,3,12,14,19,18,10,5
UBCO,2016,W,ENGR,325, ,OVERALL,"CIVIL ENG MATRLS"," ",83,77.53,7.84,97,44,82,1,0,0,0,0,0,0,0,1,1,0,0,1,3,12,14,19,18,10,5
UBCO,2016,W,ENGR,326, ,001,"STRCTRL ANLYSIS","Rteil, Ahmad",18,74.72,19.27,100,41,17,1,0,0,0,0,0,0,0,1,1,2,3,1,0,0,1,1,1,1,7
UBCO,2016,W,ENGR,326, ,OVERALL,"STRCTRL ANLYSIS"," ",18,74.72,19.27,100,41,17,1,0,0,0,0,0,0,0,1,1,2,3,1,0,0,1,1,1,1,7
UBCO,2016,W,ENGR,327, ,101,"REFCD CRT DSG I","Tesfamariam, Solomon",90,71.23,12.13,93,42,83,7,0,0,0,0,0,0,0,7,7,3,4,7,7,14,18,7,13,5,5
UBCO,2016,W,ENGR,327, ,OVERALL,"REFCD CRT DSG I"," ",90,71.23,12.13,93,42,83,7,0,0,0,0,0,0,0,7,7,3,4,7,7,14,18,7,13,5,5
UBCO,2016,W,ENGR,330, ,201,"OPT, ANLYS CVENG","Kabir, Golam",90,78,12.29,97,34,89,1,0,0,0,0,0,0,1,0,1,2,4,5,6,5,8,10,16,15,18
UBCO,2016,W,ENGR,330, ,OVERALL,"OPT, ANLYS CVENG"," ",90,78,12.29,97,34,89,1,0,0,0,0,0,0,1,0,1,2,4,5,6,5,8,10,16,15,18
UBCO,2016,W,ENGR,331, ,001,"INFSTRTR MGMT 1","Kabir, Golam",74,84.62,9.02,98,57,74,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,6,8,8,18,28
UBCO,2016,W,ENGR,331, ,OVERALL,"INFSTRTR MGMT 1"," ",74,84.62,9.02,98,57,74,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,6,8,8,18,28
UBCO,2016,W,ENGR,332, ,201,"SRVY & GIS ANLYS","Demissie, Gizachew Ababu",76,73.81,12.54,95,0,74,1,0,0,1,1,0,0,0,0,1,0,1,10,5,11,13,8,12,11,3
UBCO,2016,W,ENGR,332, ,OVERALL,"SRVY & GIS ANLYS"," ",76,73.81,12.54,95,0,74,1,0,0,1,1,0,0,0,0,1,0,1,10,5,11,13,8,12,11,3
UBCO,2016,W,ENGR,335, ,201,"TRNSPRTN ENGR","Idris, Ahmed",67,75.67,10.4,95,52,67,0,0,0,0,0,0,0,0,0,0,2,0,7,4,11,6,11,11,7,8
UBCO,2016,W,ENGR,335, ,OVERALL,"TRNSPRTN ENGR"," ",67,75.67,10.4,95,52,67,0,0,0,0,0,0,0,0,0,0,2,0,7,4,11,6,11,11,7,8
UBCO,2016,W,ENGR,340, ,101,"SOIL MECHANICS","Siddiqua, Sumi",85,76.2,10.16,95,51,85,0,0,0,0,0,0,0,0,0,0,2,2,5,9,9,10,15,15,9,9
UBCO,2016,W,ENGR,340, ,OVERALL,"SOIL MECHANICS"," ",85,76.2,10.16,95,51,85,0,0,0,0,0,0,0,0,0,0,2,2,5,9,9,10,15,15,9,9
UBCO,2016,W,ENGR,341, ,101,"ENGR HYDROLOGY","Eskicioglu, Cigdem",91,72.82,11.22,93,20,89,2,0,0,0,0,0,1,1,0,2,2,3,3,10,14,18,20,10,4,5
UBCO,2016,W,ENGR,341, ,OVERALL,"ENGR HYDROLOGY"," ",91,72.82,11.22,93,20,89,2,0,0,0,0,0,1,1,0,2,2,3,3,10,14,18,20,10,4,5
UBCO,2016,W,ENGR,342, ,201,"OPEN CHNNL FLW","Naser, Gholamreza",83,81.59,8.77,98,55,83,0,0,0,0,0,0,0,0,0,0,0,2,0,5,4,6,10,23,17,16
UBCO,2016,W,ENGR,342, ,OVERALL,"OPEN CHNNL FLW"," ",83,81.59,8.77,98,55,83,0,0,0,0,0,0,0,0,0,0,0,2,0,5,4,6,10,23,17,16
UBCO,2016,W,ENGR,347, ,101,"ENVRMTL ENGR","Roberts, Deborah",114,75.74,10.37,96,44,112,1,1,0,0,0,0,0,0,1,1,1,8,5,11,10,16,16,22,10,13
