Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,GEOG,108, ,001,"INTRO PHYS GEOG","Pidwirny, Michael",208,69.26,13.12,95,1,193,11,3,0,1,1,0,3,2,5,11,8,16,21,25,26,34,18,30,10,5
UBCO,2016,W,GEOG,108, ,OVERALL,"INTRO PHYS GEOG"," ",211,69.26,13.12,95,1,193,11,6,0,1,1,0,3,2,5,11,8,16,21,25,26,34,18,30,10,5
UBCO,2016,W,GEOG,109, ,001,"INTR PHYS GEOG 2","Neumann, Natasha",168,67.48,16.56,97,0,146,20,0,0,2,1,1,2,1,15,20,17,17,14,7,18,14,12,20,14,13
UBCO,2016,W,GEOG,109, ,OVERALL,"INTR PHYS GEOG 2"," ",168,67.48,16.56,97,0,146,20,0,0,2,1,1,2,1,15,20,17,17,14,7,18,14,12,20,14,13
UBCO,2016,W,GEOG,128, ,001,"HUM GEOG: SP&C","Teixeira, Jose",88,76.63,16.22,96,0,83,3,2,0,0,2,0,1,0,0,3,1,0,2,6,6,8,18,12,15,15
UBCO,2016,W,GEOG,128, ,101,"HUM GEOG: SP&C","Tedesco, Delacey",73,73.8,10.82,94,32,67,2,2,2,0,0,0,0,2,0,2,3,2,3,2,7,14,14,19,1,2
UBCO,2016,W,GEOG,128, ,OVERALL,"HUM GEOG: SP&C"," ",161,75.37,14.1,96,0,150,5,4,2,0,2,0,1,2,0,5,4,2,5,8,13,22,32,31,16,17
UBCO,2016,W,GEOG,129, ,001,"HUM GEOG: RD&S","Salhus, Megan",77,73.23,14.13,93,0,71,3,3,0,0,1,0,1,0,1,3,0,3,6,4,13,9,10,13,11,2
UBCO,2016,W,GEOG,129, ,101,"HUM GEOG: RD&S","Senese, Donna",79,69.89,18.04,100,0,71,8,0,0,0,1,0,1,2,4,8,4,6,6,9,6,5,11,8,8,8
UBCO,2016,W,GEOG,129, ,OVERALL,"HUM GEOG: RD&S"," ",156,71.5,16.3,100,0,142,11,3,0,0,2,0,2,2,5,11,4,9,12,13,19,14,21,21,19,10
UBCO,2016,W,GEOG,200, ,001,"ATMOS ENVIRONS","Saunders, Ian",4,73,8.16,81,65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0
UBCO,2016,W,GEOG,200, ,OVERALL,"ATMOS ENVIRONS"," ",4,73,8.16,81,65,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0
UBCO,2016,W,GEOG,205, ,001,"INTRO HYDROLOGY","de Scally, Fes Alexander",18,66.28,16.21,92,31,14,4,0,0,0,0,0,0,1,3,4,0,1,1,4,1,2,0,3,1,1
UBCO,2016,W,GEOG,205, ,OVERALL,"INTRO HYDROLOGY"," ",18,66.28,16.21,92,31,14,4,0,0,0,0,0,0,1,3,4,0,1,1,4,1,2,0,3,1,1
UBCO,2016,W,GEOG,222, ,001,"GEOMORPHOLOGY","Bauer, Bernard",14,68.29,15.39,88,28,13,1,0,0,0,0,0,1,0,0,1,1,0,1,2,3,1,2,1,2,0
UBCO,2016,W,GEOG,222, ,OVERALL,"GEOMORPHOLOGY"," ",14,68.29,15.39,88,28,13,1,0,0,0,0,0,1,0,0,1,1,0,1,2,3,1,2,1,2,0
UBCO,2016,W,GEOG,271, ,001,"GEOG DATA ANLYS","Pidwirny, Michael",36,76.32,16.76,97,19,33,1,1,0,1,0,1,0,0,0,1,1,3,2,2,4,2,2,4,5,8
UBCO,2016,W,GEOG,271, ,OVERALL,"GEOG DATA ANLYS"," ",37,76.32,16.76,97,19,33,1,2,0,1,0,1,0,0,0,1,1,3,2,2,4,2,2,4,5,8
UBCO,2016,W,GEOG,272, ,001,"CARTOGRAPHY & RS","Saunders, Ian",35,65.44,13.67,91,32,30,4,1,0,0,0,0,0,2,2,4,3,3,4,3,7,4,0,4,1,1
UBCO,2016,W,GEOG,272, ,OVERALL,"CARTOGRAPHY & RS"," ",36,65.44,13.67,91,32,30,4,2,0,0,0,0,0,2,2,4,3,3,4,3,7,4,0,4,1,1
UBCO,2016,W,GEOG,310, ,001,"ENVIR & RESOURCE","Pidwirny, Michael",33,77.33,11.79,94,33,32,1,0,0,0,0,0,0,1,0,1,0,0,0,2,7,6,2,6,5,4
UBCO,2016,W,GEOG,310, ,OVERALL,"ENVIR & RESOURCE"," ",33,77.33,11.79,94,33,32,1,0,0,0,0,0,0,1,0,1,0,0,0,2,7,6,2,6,5,4
UBCO,2016,W,GEOG,314, ,001,"ENV IMPCT ASSESS","Hanna, Kevin",14,78.57,5.17,86,70,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,4,2,0
UBCO,2016,W,GEOG,314, ,OVERALL,"ENV IMPCT ASSESS"," ",14,78.57,5.17,86,70,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,4,2,0
UBCO,2016,W,GEOG,316, ,001,"GEOG NATURAL HAZ","de Scally, Fes Alexander",35,76.85,11.16,95,50,34,0,1,0,0,0,0,0,0,0,0,1,1,5,0,3,3,3,10,5,3
UBCO,2016,W,GEOG,316, ,OVERALL,"GEOG NATURAL HAZ"," ",35,76.85,11.16,95,50,34,0,1,0,0,0,0,0,0,0,0,1,1,5,0,3,3,3,10,5,3
UBCO,2016,W,GEOG,317, ,001,"PHYSCL ENVRN B C","Saunders, Ian",13,67.58,15.29,88,29,11,1,1,0,0,0,0,1,0,0,1,0,2,0,2,1,2,2,1,1,0
UBCO,2016,W,GEOG,317, ,OVERALL,"PHYSCL ENVRN B C"," ",13,67.58,15.29,88,29,11,1,1,0,0,0,0,1,0,0,1,0,2,0,2,1,2,2,1,1,0
UBCO,2016,W,GEOG,341, ,001,"QUAT PALEO ENVIR","Walker, Ian",5,64,16.51,81,44,4,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0
UBCO,2016,W,GEOG,341, ,OVERALL,"QUAT PALEO ENVIR"," ",5,64,16.51,81,44,4,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0
UBCO,2016,W,GEOG,351, ,001,"URB SCL GEOG","Teixeira, Jose",33,77.27,21.2,92,0,31,2,0,0,0,2,0,0,0,0,2,0,0,1,0,0,5,3,7,7,8
UBCO,2016,W,GEOG,351, ,OVERALL,"URB SCL GEOG"," ",33,77.27,21.2,92,0,31,2,0,0,0,2,0,0,0,0,2,0,0,1,0,0,5,3,7,7,8
UBCO,2016,W,GEOG,354, ,001,"URBAN CANADA","Tedesco, Delacey",13,81.23,5.99,90,71,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,3,1
UBCO,2016,W,GEOG,354, ,OVERALL,"URBAN CANADA"," ",13,81.23,5.99,90,71,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,3,1
UBCO,2016,W,GEOG,356, ,001,"STRTGRAPH & SEDI","Young, Robert",5,68.8,19.69,85,35,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,1,0
UBCO,2016,W,GEOG,356, ,OVERALL,"STRTGRAPH & SEDI"," ",5,68.8,19.69,85,35,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,1,0
UBCO,2016,W,GEOG,365, ,001,"PRKS & OUTDR REC","Senese, Donna",21,79.48,9.9,92,55,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,5,6,4,2
UBCO,2016,W,GEOG,365, ,OVERALL,"PRKS & OUTDR REC"," ",21,79.48,9.9,92,55,21,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,5,6,4,2
UBCO,2016,W,GEOG,367, ,001,"ENERGY RSRC MGMT","Hanna, Kevin",17,59,22.23,80,5,13,2,2,0,0,1,1,0,0,0,2,3,1,1,0,3,2,2,1,0,0
UBCO,2016,W,GEOG,367, ,OVERALL,"ENERGY RSRC MGMT"," ",17,59,22.23,80,5,13,2,2,0,0,1,1,0,0,0,2,3,1,1,0,3,2,2,1,0,0
UBCO,2016,W,GEOG,370, ,001,"INTRO TO GIS","Kyle, Catherine",45,83.43,9.84,97,60,44,0,0,1,0,0,0,0,0,0,0,0,0,2,1,4,3,2,8,11,13
UBCO,2016,W,GEOG,370, ,OVERALL,"INTRO TO GIS"," ",46,83.43,9.84,97,60,44,0,0,2,0,0,0,0,0,0,0,0,0,2,1,4,3,2,8,11,13
UBCO,2016,W,GEOG,371, ,001,"RES STR HUM GEOG","Senese, Donna",18,67.11,26.56,94,10,15,3,0,0,0,0,2,1,0,0,3,2,0,1,0,1,2,0,4,3,2
UBCO,2016,W,GEOG,371, ,OVERALL,"RES STR HUM GEOG"," ",18,67.11,26.56,94,10,15,3,0,0,0,0,2,1,0,0,3,2,0,1,0,1,2,0,4,3,2
UBCO,2016,W,GEOG,421, ,001,"GEOGPHY FOOD SYS","Stockdale, Mary",24,81.5,15.83,92,15,23,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,2,2,8,8
UBCO,2016,W,GEOG,421, ,OVERALL,"GEOGPHY FOOD SYS"," ",24,81.5,15.83,92,15,23,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,2,2,8,8
UBCO,2016,W,GEOG,427, ,001,"NEOGEOGRAPHY","Kyle, Catherine",8,84.75,7.34,93,76,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3
UBCO,2016,W,GEOG,427, ,OVERALL,"NEOGEOGRAPHY"," ",8,84.75,7.34,93,76,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3
UBCO,2016,W,GEOG,431, ,001,"RSC MGMT P&P","Hanna, Kevin",14,80.43,6.47,88,67,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,7,4,0
UBCO,2016,W,GEOG,431, ,OVERALL,"RSC MGMT P&P"," ",14,80.43,6.47,88,67,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,7,4,0
UBCO,2016,W,GEOG,435, ,001,"WINE GEOGS","Senese, Donna",23,75.52,10.36,84,51,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,3,13,0,0
UBCO,2016,W,GEOG,435, ,OVERALL,"WINE GEOGS"," ",23,75.52,10.36,84,51,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,2,3,13,0,0
UBCO,2016,W,GEOG,451, ,001,"URBAN PLANNING","Momer, Bernard",22,79,9.81,94,54,22,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3,6,5,2
UBCO,2016,W,GEOG,451, ,OVERALL,"URBAN PLANNING"," ",22,79,9.81,94,54,22,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,3,6,5,2
UBCO,2016,W,GEOG,458, ,001,"POPULATION GEOG","Teixeira, Jose",26,75.58,23.65,94,0,24,2,0,0,0,2,0,0,0,0,2,0,0,0,1,1,3,3,4,6,6
UBCO,2016,W,GEOG,458, ,OVERALL,"POPULATION GEOG"," ",26,75.58,23.65,94,0,24,2,0,0,0,2,0,0,0,0,2,0,0,0,1,1,3,3,4,6,6
UBCO,2016,W,GEOG,466, ,001,"SOIL SCIENCE","Scott, David",8,59.25,13.84,76,43,5,3,0,0,0,0,0,0,0,3,3,1,0,0,0,2,1,1,0,0,0
UBCO,2016,W,GEOG,466, ,OVERALL,"SOIL SCIENCE"," ",8,59.25,13.84,76,43,5,3,0,0,0,0,0,0,0,3,3,1,0,0,0,2,1,1,0,0,0
UBCO,2016,W,GEOG,491,A,001,"SLCT TOP GEOGR","Parrott, Lael",11,79.73,4.71,87,74,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0
