Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,MATH,100, ,001,"DF CALC AP PH SC","Bartz, Sedi",199,66.92,17.96,98,11,143,28,11,0,17,0,2,2,3,21,28,15,19,14,10,9,15,12,13,16,20
UBCO,2016,W,MATH,100, ,002,"DF CALC AP PH SC","Broughton, Wayne",299,66.22,16.24,99,6,239,47,5,0,8,1,0,3,13,30,47,27,20,15,30,33,22,26,28,20,18
UBCO,2016,W,MATH,100, ,003,"DF CALC AP PH SC","Tavakoli, Javad",174,68.48,21.02,100,0,143,23,6,1,1,3,3,2,7,8,23,16,9,10,12,11,13,13,18,17,24
UBCO,2016,W,MATH,100, ,101,"DF CALC AP PH SC","Butz, Edward",131,54.86,26.25,97,0,75,50,6,0,0,8,3,13,14,12,50,10,4,3,11,5,7,12,6,5,12
UBCO,2016,W,MATH,100, ,OVERALL,"DF CALC AP PH SC"," ",832,64.99,20.18,100,0,600,148,56,2,26,12,8,20,37,71,148,68,52,42,63,58,57,63,65,58,74
UBCO,2016,W,MATH,101, ,001,"INT CALC AP PH S","Butz, Edward",103,56.98,22.75,100,13,65,35,2,0,1,0,6,6,12,11,35,12,5,6,6,7,7,4,7,2,9
UBCO,2016,W,MATH,101, ,101,"INT CALC AP PH S","Xu, Jia",109,67.19,26.91,100,0,89,19,1,0,0,5,4,4,5,1,19,11,6,6,8,6,5,10,3,5,29
UBCO,2016,W,MATH,101, ,102,"INT CALC AP PH S","Tippett, Ben",286,69.66,20.62,100,0,254,29,3,0,0,8,2,4,9,6,29,19,19,28,20,26,19,26,23,27,47
UBCO,2016,W,MATH,101, ,103,"INT CALC AP PH S","Tavakoli, Javad",126,73.08,16.73,100,30,111,9,4,0,2,0,0,0,2,7,9,12,5,8,7,13,12,11,10,8,25
UBCO,2016,W,MATH,101, ,OVERALL,"INT CALC AP PH S"," ",634,67.82,22.1,100,0,519,92,20,0,3,13,12,14,28,25,92,54,35,48,41,52,43,51,43,42,110
UBCO,2016,W,MATH,111, ,101,"FINITE MATH","Hare, Donovan",70,67.28,20.72,93,17,57,10,2,0,1,0,1,6,2,1,10,9,1,3,3,5,5,7,7,12,5
UBCO,2016,W,MATH,111, ,OVERALL,"FINITE MATH"," ",72,67.28,20.72,93,17,57,10,4,0,1,0,1,6,2,1,10,9,1,3,3,5,5,7,7,12,5
UBCO,2016,W,MATH,116, ,001,"CALC MGMT & ECON","PLANIDEN, CHAYNE C",199,57.48,20.49,100,0,138,54,6,1,0,1,6,10,20,17,54,35,18,11,10,12,9,9,16,9,9
UBCO,2016,W,MATH,116, ,002,"CALC MGMT & ECON","Butz, Edward",122,58.6,21.88,95,0,85,34,3,0,0,4,2,6,8,14,34,15,6,7,10,8,13,5,10,5,6
UBCO,2016,W,MATH,116, ,OVERALL,"CALC MGMT & ECON"," ",330,57.91,21,100,0,223,88,18,1,0,5,8,16,28,31,88,50,24,18,20,20,22,14,26,14,15
UBCO,2016,W,MATH,125, ,001,"PRE-CALCULUS","Xu, Jia",98,67.9,18.51,98,13,79,12,6,0,1,0,1,2,2,7,12,7,14,5,8,5,7,7,6,5,15
UBCO,2016,W,MATH,125, ,OVERALL,"PRE-CALCULUS"," ",104,67.9,18.51,98,13,79,12,12,0,1,0,1,2,2,7,12,7,14,5,8,5,7,7,6,5,15
UBCO,2016,W,MATH,126, ,101,"BASIC MATH ABRGN","Xu, Jia",44,75.4,24.3,100,0,38,5,1,0,0,1,1,1,2,0,5,3,0,2,4,1,0,1,7,4,16
UBCO,2016,W,MATH,126, ,OVERALL,"BASIC MATH ABRGN"," ",45,75.4,24.3,100,0,38,5,2,0,0,1,1,1,2,0,5,3,0,2,4,1,0,1,7,4,16
