Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,MGMT,100, ,001,"INTRO CDN BIZ","Ralph, David",94,62.2,12.21,88,27,76,14,3,0,1,0,0,1,1,12,14,6,12,12,15,13,7,4,5,2,0
UBCO,2016,W,MGMT,100, ,002,"INTRO CDN BIZ","Ralph, David",89,65.28,11.3,84,33,76,10,2,0,1,0,0,0,2,8,10,4,5,12,10,20,13,6,6,0,0
UBCO,2016,W,MGMT,100, ,101,"INTRO CDN BIZ","Zhu, Ying",100,76.19,19.19,99,0,88,12,0,0,0,2,0,2,0,8,12,0,2,2,2,7,8,10,18,16,23
UBCO,2016,W,MGMT,100, ,102,"INTRO CDN BIZ","Zhu, Ying",96,73.65,22.36,97,0,85,10,1,0,0,5,0,1,2,2,10,0,2,5,5,5,8,13,11,20,16
UBCO,2016,W,MGMT,100, ,OVERALL,"INTRO CDN BIZ"," ",379,69.62,18.01,99,0,325,46,6,0,2,7,0,4,5,30,46,10,21,31,32,45,36,33,40,38,39
UBCO,2016,W,MGMT,200, ,001,"PERSNL CORPR CSR","Zvaniga, Eric",151,77.14,5.12,89,60,150,0,1,0,0,0,0,0,0,0,0,0,0,2,4,12,37,43,40,12,0
UBCO,2016,W,MGMT,200, ,101,"PERSNL CORPR CSR","Zvaniga, Eric",123,73.31,6.67,86,50,123,0,0,0,0,0,0,0,0,0,0,3,1,2,11,30,27,24,20,5,0
UBCO,2016,W,MGMT,200, ,OVERALL,"PERSNL CORPR CSR"," ",274,75.41,6.16,89,50,273,0,1,0,0,0,0,0,0,0,0,3,1,4,15,42,64,67,60,17,0
UBCO,2016,W,MGMT,301, ,001,"INTR FIN ACCNTNG","Ebl, Tamara",48,75.15,12.05,96,50,48,0,0,0,0,0,0,0,0,0,0,3,3,2,5,7,5,3,7,9,4
UBCO,2016,W,MGMT,301, ,002,"INTR FIN ACCNTNG","Ebl, Tamara",46,76.39,13.37,96,34,45,1,0,0,0,0,0,0,1,0,1,3,1,4,2,3,3,6,8,9,6
UBCO,2016,W,MGMT,301, ,003,"INTR FIN ACCNTNG","Ebl, Tamara",65,81.82,10.46,100,40,64,1,0,0,0,0,0,0,0,1,1,0,1,1,1,6,4,9,11,18,13
UBCO,2016,W,MGMT,301, ,OVERALL,"INTR FIN ACCNTNG"," ",159,78.23,12.15,100,34,157,2,0,0,0,0,0,0,1,1,2,6,5,7,8,16,12,18,26,36,23
UBCO,2016,W,MGMT,302, ,101,"INTR MNGR ACCNTG","Ebl, Tamara",48,70.63,9.84,98,52,48,0,0,0,0,0,0,0,0,0,0,1,3,7,11,4,8,7,3,1,3
UBCO,2016,W,MGMT,302, ,102,"INTR MNGR ACCNTG","Ebl, Tamara",45,70.38,9.4,97,51,45,0,0,0,0,0,0,0,0,0,0,3,2,4,9,7,9,4,4,2,1
UBCO,2016,W,MGMT,302, ,103,"INTR MNGR ACCNTG","Ebl, Tamara",64,74.94,9.6,100,56,64,0,0,0,0,0,0,0,0,0,0,0,2,3,10,8,15,7,8,6,5
UBCO,2016,W,MGMT,302, ,OVERALL,"INTR MNGR ACCNTG"," ",157,72.31,9.8,100,51,157,0,0,0,0,0,0,0,0,0,0,4,7,14,30,19,32,18,15,9,9
UBCO,2016,W,MGMT,310, ,101,"INTRO FINANCE","Mitropolsky, Elena",49,75.2,10.16,95,52,49,0,0,0,0,0,0,0,0,0,0,2,2,2,4,5,10,7,7,5,5
UBCO,2016,W,MGMT,310, ,102,"INTRO FINANCE","Mitropolsky, Elena",46,72.33,13.58,95,14,45,1,0,0,0,0,1,0,0,0,1,3,2,2,3,10,8,2,7,4,4
UBCO,2016,W,MGMT,310, ,103,"INTRO FINANCE","Mitropolsky, Elena",62,79.74,8.69,96,51,62,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,11,9,9,10,11
UBCO,2016,W,MGMT,310, ,OVERALL,"INTRO FINANCE"," ",157,76.15,11.14,96,14,156,1,0,0,0,0,1,0,0,0,1,6,4,4,8,25,29,18,23,19,20
UBCO,2016,W,MGMT,320, ,001,"INTRO MRKTNG","Li, Ping",47,82.43,3.84,89,66,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,25,15,0
UBCO,2016,W,MGMT,320, ,002,"INTRO MRKTNG","Li, Ping",44,82.09,4.23,90,70,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,25,9,1
UBCO,2016,W,MGMT,320, ,003,"INTRO MRKTNG","Li, Ping",65,84.63,6.25,90,42,64,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,18,42,1
UBCO,2016,W,MGMT,320, ,OVERALL,"INTRO MRKTNG"," ",156,83.25,5.18,90,42,155,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,5,12,68,66,2
UBCO,2016,W,MGMT,330, ,001,"INTRO ORG BHVR","Sawatzky, Roberta",47,79.26,8.78,89,29,46,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,5,13,19,8,0
UBCO,2016,W,MGMT,330, ,002,"INTRO ORG BHVR","Sawatzky, Roberta",43,73.14,14.24,85,26,39,4,0,0,0,0,0,1,2,1,4,0,1,0,0,3,8,10,15,2,0
UBCO,2016,W,MGMT,330, ,003,"INTRO ORG BHVR","Sawatzky, Roberta",63,79.75,5.29,90,65,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,12,16,19,12,1
UBCO,2016,W,MGMT,330, ,OVERALL,"INTRO ORG BHVR"," ",153,77.74,9.96,90,26,148,5,0,0,0,0,0,2,2,1,5,0,1,0,2,5,25,39,53,22,1
UBCO,2016,W,MGMT,340, ,001,"INTRO MGMT COMMS","Joy, Annamma",48,78.9,6.88,91,51,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,10,10,13,8,2
UBCO,2016,W,MGMT,340, ,002,"INTRO MGMT COMMS","Joy, Annamma",45,77.24,5.07,87,65,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,11,16,2,0
UBCO,2016,W,MGMT,340, ,003,"INTRO MGMT COMMS","Joy, Annamma",65,79.02,7.09,92,42,64,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5,12,9,21,16,1
