Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,PHYS,102, ,001,"ELEC LIGHT & RAD","Hopkinson, John",230,71.84,11.85,98,31,207,14,2,0,7,0,0,0,3,11,14,4,14,11,30,35,21,30,31,21,10
UBCO,2016,W,PHYS,102, ,OVERALL,"ELEC LIGHT & RAD"," ",232,71.84,11.85,98,31,207,14,4,0,7,0,0,0,3,11,14,4,14,11,30,35,21,30,31,21,10
UBCO,2016,W,PHYS,111, ,001,"CALC PHYS I","Tippett, Ben",194,73.11,14.86,100,0,171,18,4,0,1,1,0,3,0,14,18,7,3,9,17,23,22,18,33,16,23
UBCO,2016,W,PHYS,111, ,002,"CALC PHYS I","Tippett, Ben",118,72.49,15.75,98,0,104,13,1,0,0,1,0,0,2,10,13,3,6,3,11,14,12,14,15,15,11
UBCO,2016,W,PHYS,111, ,OVERALL,"CALC PHYS I"," ",317,72.87,15.18,100,0,275,31,10,0,1,2,0,3,2,24,31,10,9,12,28,37,34,32,48,31,34
UBCO,2016,W,PHYS,112, ,001,"INTRO PHYS I","Tippett, Ben",178,65.82,18.22,100,0,136,40,1,0,1,3,0,2,6,29,40,3,11,13,16,22,15,18,15,10,13
UBCO,2016,W,PHYS,112, ,002,"INTRO PHYS I","Hopkinson, John",114,68.66,14.4,95,19,93,18,2,0,1,0,1,0,1,16,18,3,5,9,13,10,16,11,13,6,7
UBCO,2016,W,PHYS,112, ,003,"INTRO PHYS I","",36,60.06,20.68,94,0,25,11,0,0,0,1,0,1,5,4,11,1,3,2,3,5,3,2,3,1,2
UBCO,2016,W,PHYS,112, ,OVERALL,"INTRO PHYS I"," ",334,66.15,17.44,100,0,254,69,9,0,2,4,1,3,12,49,69,7,19,24,32,37,34,31,31,17,22
UBCO,2016,W,PHYS,122, ,001,"INTRO PHYS II","Tippett, Ben",157,72.4,14.67,98,0,146,8,3,0,0,1,1,0,1,5,8,7,11,9,20,10,16,16,27,19,11
UBCO,2016,W,PHYS,122, ,002,"INTRO PHYS II","Hopkinson, John",110,75.02,10.67,99,47,106,1,1,0,2,0,0,0,0,1,1,5,4,4,12,12,14,17,20,10,8
UBCO,2016,W,PHYS,122, ,OVERALL,"INTRO PHYS II"," ",275,73.47,13.22,99,0,252,9,12,0,2,1,1,0,1,6,9,12,15,13,32,22,30,33,47,29,19
UBCO,2016,W,PHYS,200, ,001,"RELTVTY & QUANTA","Hopkinson, John",30,71.54,10.09,94,49,27,1,2,0,0,0,0,0,0,1,1,0,0,5,4,6,4,3,2,1,2
UBCO,2016,W,PHYS,200, ,OVERALL,"RELTVTY & QUANTA"," ",32,71.54,10.09,94,49,27,1,4,0,0,0,0,0,0,1,1,0,0,5,4,6,4,3,2,1,2
UBCO,2016,W,PHYS,215, ,001,"THERMODYNAMICS","Hopkinson, John",23,67.76,12.08,90,45,20,1,0,0,2,0,0,0,0,1,1,2,2,4,3,1,2,2,2,1,1
UBCO,2016,W,PHYS,215, ,OVERALL,"THERMODYNAMICS"," ",23,67.76,12.08,90,45,20,1,0,0,2,0,0,0,0,1,1,2,2,4,3,1,2,2,2,1,1
