Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,POLI,101, ,001,"GOVERNMENT CAN","Ding, Yijiang",96,67.09,14.3,92,0,84,10,2,0,0,1,0,0,3,6,10,3,10,11,8,16,9,10,8,8,1
UBCO,2016,W,POLI,101, ,002,"GOVERNMENT CAN","Doberstein, Carey",119,71.43,18.45,92,0,107,9,3,0,0,3,1,0,3,2,9,9,3,7,5,12,11,7,28,17,8
UBCO,2016,W,POLI,101, ,OVERALL,"GOVERNMENT CAN"," ",215,69.49,16.82,92,0,191,19,5,0,0,4,1,0,6,8,19,12,13,18,13,28,20,17,36,25,9
UBCO,2016,W,POLI,220, ,101,"INTR COMP POLTCS","Hodge, Carl",94,63.87,20.45,88,0,74,16,4,0,0,4,0,4,4,4,16,3,3,10,6,14,11,9,11,7,0
UBCO,2016,W,POLI,220, ,OVERALL,"INTR COMP POLTCS"," ",94,63.87,20.45,88,0,74,16,4,0,0,4,0,4,4,4,16,3,3,10,6,14,11,9,11,7,0
UBCO,2016,W,POLI,221, ,001,"INTL POLITICS I","Rochlin, James",91,74.27,17.11,92,0,86,3,2,0,0,3,0,0,0,0,3,3,4,3,9,7,8,16,8,18,10
UBCO,2016,W,POLI,221, ,OVERALL,"INTL POLITICS I"," ",91,74.27,17.11,92,0,86,3,2,0,0,3,0,0,0,0,3,3,4,3,9,7,8,16,8,18,10
UBCO,2016,W,POLI,222, ,001,"INTL POLITICS II","Jones, Adam",97,72.17,15.31,92,0,89,3,4,0,1,1,2,0,0,0,3,4,3,6,6,15,10,17,13,9,6
UBCO,2016,W,POLI,222, ,OVERALL,"INTL POLITICS II"," ",97,72.17,15.31,92,0,89,3,4,0,1,1,2,0,0,0,3,4,3,6,6,15,10,17,13,9,6
UBCO,2016,W,POLI,223, ,001,"INTRO TO PPE","Hodge, Carl",24,70.61,18.64,90,27,19,4,1,0,0,0,0,1,2,1,4,1,0,0,0,3,2,4,4,4,1
UBCO,2016,W,POLI,223, ,OVERALL,"INTRO TO PPE"," ",24,70.61,18.64,90,27,19,4,1,0,0,0,0,1,2,1,4,1,0,0,0,3,2,4,4,4,1
UBCO,2016,W,POLI,240, ,001,"CUR POLI THOUGHT","Ding, Yijiang",72,69.24,18.58,92,0,66,4,2,0,0,1,3,0,0,0,4,5,6,4,5,8,10,3,16,6,3
UBCO,2016,W,POLI,240, ,OVERALL,"CUR POLI THOUGHT"," ",72,69.24,18.58,92,0,66,4,2,0,0,1,3,0,0,0,4,5,6,4,5,8,10,3,16,6,3
UBCO,2016,W,POLI,303, ,001,"FEDERALSM CANADA","Doberstein, Carey",39,77.47,9.64,94,54,36,0,2,1,0,0,0,0,0,0,0,1,1,0,3,4,4,7,7,5,4
