Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,PSYO,111, ,001,"PSYO: BASIC PROC","Holder, Mark",120,68.5,16.16,92,22,103,14,2,0,1,0,0,3,7,4,14,5,10,9,7,11,15,12,20,9,5
UBCO,2016,W,PSYO,111, ,002,"PSYO: BASIC PROC","Holder, Mark",299,68.2,14.69,97,22,255,31,5,0,8,0,0,4,9,18,31,15,27,22,34,29,26,33,35,20,14
UBCO,2016,W,PSYO,111, ,003,"PSYO: BASIC PROC","Libben, Maya",99,69.94,15.5,98,8,92,7,0,0,0,1,0,0,3,3,7,6,8,12,8,8,8,16,8,10,8
UBCO,2016,W,PSYO,111, ,004,"PSYO: BASIC PROC","Libben, Maya",299,71.9,13.07,97,13,285,10,2,1,1,0,1,1,0,8,10,22,15,32,22,41,31,38,29,31,24
UBCO,2016,W,PSYO,111, ,101,"PSYO: BASIC PROC","Hutchinson, Shirley",199,70.54,17.88,100,0,181,17,1,0,0,3,0,2,1,11,17,17,14,15,15,20,25,10,16,20,29
UBCO,2016,W,PSYO,111, ,102,"PSYO: BASIC PROC","Gabias, Paul",95,67.48,18,97,0,80,12,2,0,1,1,1,1,3,6,12,7,5,13,8,7,8,8,5,9,10
UBCO,2016,W,PSYO,111, ,OVERALL,"PSYO: BASIC PROC"," ",1111,69.76,15.5,100,0,996,91,12,1,11,5,2,11,23,50,91,72,79,103,94,116,113,117,113,99,90
UBCO,2016,W,PSYO,121, ,001,"PSYO: PERS FNCTG","Holtzman, Susan",125,72.18,14.22,96,21,119,6,0,0,0,0,0,1,2,3,6,3,14,16,12,6,12,8,19,14,15
UBCO,2016,W,PSYO,121, ,101,"PSYO: PERS FNCTG","Holtzman, Susan",287,71.78,12.96,98,21,268,15,3,1,0,0,0,1,1,13,15,12,22,29,23,35,34,26,38,23,26
UBCO,2016,W,PSYO,121, ,102,"PSYO: PERS FNCTG","Wirtz, Derrick",247,75.08,10.18,97,47,242,1,1,0,3,0,0,0,0,1,1,5,13,13,28,31,24,35,48,28,17
UBCO,2016,W,PSYO,121, ,103,"PSYO: PERS FNCTG","Wirtz, Derrick",103,74.83,10.46,94,50,100,0,1,1,1,0,0,0,0,0,0,5,4,5,8,15,13,16,13,14,7
UBCO,2016,W,PSYO,121, ,OVERALL,"PSYO: PERS FNCTG"," ",762,73.32,12.12,98,21,729,22,5,2,4,0,0,2,3,17,22,25,53,63,71,87,83,85,118,79,65
UBCO,2016,W,PSYO,219, ,001,"INTRO COGNITION","Snyder, Janice",193,71.64,12.12,100,37,184,5,4,0,0,0,0,0,1,4,5,11,13,17,25,20,18,16,33,17,14
UBCO,2016,W,PSYO,219, ,OVERALL,"INTRO COGNITION"," ",193,71.64,12.12,100,37,184,5,4,0,0,0,0,0,1,4,5,11,13,17,25,20,18,16,33,17,14
UBCO,2016,W,PSYO,220, ,101,"LIFESPAN DEVLPMT","Carpenter, Tara",258,76.62,13.82,97,0,249,5,1,0,3,2,0,0,2,1,5,14,7,9,16,23,30,25,42,52,31
