Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,SOCI,111, ,001,"INTRO SOCI I","Urmetzer, Peter",196,70.55,10.12,90,31,185,6,4,0,1,0,0,0,2,4,6,12,7,11,24,31,36,25,28,10,1
UBCO,2016,W,SOCI,111, ,002,"INTRO SOCI I","Urmetzer, Peter",194,69.37,10.06,88,22,181,5,5,0,3,0,0,2,1,2,5,6,8,18,35,39,22,23,24,6,0
UBCO,2016,W,SOCI,111, ,003,"INTRO SOCI I","Meadows, Craig",192,67.31,17.54,95,0,162,25,4,0,1,5,0,1,4,15,25,5,12,10,17,27,26,18,22,16,9
UBCO,2016,W,SOCI,111, ,OVERALL,"INTRO SOCI I"," ",582,69.09,13.09,95,0,528,36,13,0,5,5,0,3,7,21,36,23,27,39,76,97,84,66,74,32,10
UBCO,2016,W,SOCI,121, ,001,"INTRO SOCI II","Aguiar, Luis",86,68.81,12.17,87,21,81,4,1,0,0,0,0,1,2,1,4,6,3,12,10,9,14,11,12,4,0
UBCO,2016,W,SOCI,121, ,002,"INTRO SOCI II","Aguiar, Luis",62,67.82,10.54,90,35,60,2,0,0,0,0,0,0,1,1,2,6,0,12,9,11,8,4,6,3,1
UBCO,2016,W,SOCI,121, ,OVERALL,"INTRO SOCI II"," ",148,68.39,11.48,90,21,141,6,1,0,0,0,0,1,3,2,6,12,3,24,19,20,22,15,18,7,1
UBCO,2016,W,SOCI,209, ,002,"SOCIAL THOUGHT","Meadows, Craig",36,71.89,18.27,98,11,32,3,0,0,1,0,2,0,1,0,3,1,1,0,3,1,7,5,9,3,2
UBCO,2016,W,SOCI,209, ,OVERALL,"SOCIAL THOUGHT"," ",36,71.89,18.27,98,11,32,3,0,0,1,0,2,0,1,0,3,1,1,0,3,1,7,5,9,3,2
UBCO,2016,W,SOCI,211, ,001,"CDN SOCIETY I","Sarker, Kanchan",43,77,10.35,100,56,42,0,0,1,0,0,0,0,0,0,0,0,2,0,2,8,8,7,5,3,7
UBCO,2016,W,SOCI,211, ,OVERALL,"CDN SOCIETY I"," ",43,77,10.35,100,56,42,0,0,1,0,0,0,0,0,0,0,0,2,0,2,8,8,7,5,3,7
UBCO,2016,W,SOCI,212, ,001,"SOCI RACE & ETHN","Aguiar, Luis",48,66.53,16.13,90,18,42,5,1,0,0,0,1,1,0,3,5,6,1,7,4,3,6,1,9,4,1
