Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCO,2016,W,STAT,121, ,001,"ELEM STATISTICS","Gustafsson, Emelie",114,78.29,21.64,100,1,102,11,0,0,1,2,1,4,4,0,11,1,2,7,6,2,4,6,14,17,43
UBCO,2016,W,STAT,121, ,101,"ELEM STATISTICS","Gustafsson, Emelie",128,78.18,21.27,100,0,118,8,2,0,0,2,3,2,0,1,8,7,5,2,2,7,6,11,11,21,46
UBCO,2016,W,STAT,121, ,OVERALL,"ELEM STATISTICS"," ",245,78.23,21.4,100,0,220,19,5,0,1,4,4,6,4,1,19,8,7,9,8,9,10,17,25,38,89
UBCO,2016,W,STAT,124, ,001,"BUSINESS STATS","Gill, Paramjit",113,65.91,19.45,95,0,93,15,5,0,0,2,0,3,6,4,15,9,11,5,8,9,9,11,14,8,9
UBCO,2016,W,STAT,124, ,101,"BUSINESS STATS","Gustafsson, Emelie",117,83.11,15.5,100,41,113,3,1,0,0,0,0,0,0,3,3,7,2,4,1,9,5,5,15,16,49
UBCO,2016,W,STAT,124, ,OVERALL,"BUSINESS STATS"," ",236,74.82,19.49,100,0,206,18,12,0,0,2,0,3,6,7,18,16,13,9,9,18,14,16,29,24,58
UBCO,2016,W,STAT,230, ,001,"INTRO STATS","Braun, John;Loeppky, Jason",157,73.81,12.07,97,17,151,4,1,1,0,0,1,1,0,2,4,2,6,17,10,19,30,15,22,16,14
UBCO,2016,W,STAT,230, ,OVERALL,"INTRO STATS"," ",158,73.81,12.07,97,17,151,4,2,1,0,0,1,1,0,2,4,2,6,17,10,19,30,15,22,16,14
UBCO,2016,W,STAT,303, ,001,"INTRO PRBABILITY","Andrews, Jeffrey",61,70.95,16.21,96,27,54,6,1,0,0,0,0,1,1,4,6,3,3,4,6,10,5,4,6,2,11
UBCO,2016,W,STAT,303, ,OVERALL,"INTRO PRBABILITY"," ",61,70.95,16.21,96,27,54,6,1,0,0,0,0,1,1,4,6,3,3,4,6,10,5,4,6,2,11
UBCO,2016,W,STAT,309, ,001,"INTRO STAT INFER","Andrews, Jeffrey",41,66.45,15.96,95,35,35,5,1,0,0,0,0,0,3,2,5,6,0,5,5,5,2,3,3,3,3
UBCO,2016,W,STAT,309, ,OVERALL,"INTRO STAT INFER"," ",41,66.45,15.96,95,35,35,5,1,0,0,0,0,0,3,2,5,6,0,5,5,5,2,3,3,3,3
UBCO,2016,W,STAT,310, ,001,"RGR ANALYSIS","Gill, Paramjit",16,70.33,22.69,92,10,13,2,1,0,0,0,1,0,1,0,2,0,0,0,2,2,0,3,1,2,3
UBCO,2016,W,STAT,310, ,OVERALL,"RGR ANALYSIS"," ",17,70.33,22.69,92,10,13,2,2,0,0,0,1,0,1,0,2,0,0,0,2,2,0,3,1,2,3
UBCO,2016,W,STAT,311, ,001,"MODERN STAT METH","Andrews, Jeffrey",38,73.28,18.33,97,30,34,2,1,0,1,0,0,0,1,1,2,6,1,3,4,1,2,1,0,4,12
UBCO,2016,W,STAT,311, ,OVERALL,"MODERN STAT METH"," ",38,73.28,18.33,97,30,34,2,1,0,1,0,0,0,1,1,2,6,1,3,4,1,2,1,0,4,12
UBCO,2016,W,STAT,405, ,001,"DSG & ANLYS EXPM","Loeppky, Jason",10,81,14.09,97,52,10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,5
UBCO,2016,W,STAT,405, ,OVERALL,"DSG & ANLYS EXPM"," ",10,81,14.09,97,52,10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,5
UBCO,2016,W,STAT,410, ,101,"INTRO LIN MODELS","Braun, John",7,77.71,11.83,93,59,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,1
UBCO,2016,W,STAT,410, ,OVERALL,"INTRO LIN MODELS"," ",7,77.71,11.83,93,59,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,1
UBCO,2016,W,STAT,547,B,001,"TOPICS IN STATS","Jirasek, Andrew",5,85.67,9.5,95,76,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
UBCO,2016,W,STAT,547, ,OVERALL,"TOPICS IN STATS"," ",5,85.67,9.5,95,76,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
UBCO,2016,W,STAT,547, ,OVERALL,"TOPICS IN STATS"," ",5,85.67,9.5,95,76,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
UBCO,2016,W,STAT,560, ,001,"PROB STCHSTC PRC","Braun, John",6,90.5,3.51,96,87,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
UBCO,2016,W,STAT,560, ,OVERALL,"PROB STCHSTC PRC"," ",6,90.5,3.51,96,87,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
